cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,p-o0wAEACAAJ,https://www.googleapis.com/books/v1/volumes/p-o0wAEACAAJ,지역사회 정신질환자 건강수준·건강행태 분석 및 신체건강증진을 위한 방안,none,none,2012,none,BOOK,none
0,books#volume,kvFjzgEACAAJ,https://www.googleapis.com/books/v1/volumes/kvFjzgEACAAJ,정신건강간호사를 간직하다,이현지,none,2021-03-29,none,BOOK,none
0,books#volume,M49WzAEACAAJ,https://www.googleapis.com/books/v1/volumes/M49WzAEACAAJ,정신건강증진,none,none,2018,none,BOOK,none
0,books#volume,GnBjEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/GnBjEAAAQBAJ,불행은 어떻게 질병으로 이어지는가,네이딘 버크 해리스,PRUNSOOP,2019-12-02,"아마존 베스트셀러! 굿리즈 평점 4.5! [뉴욕 타임스],[커커스 리뷰] 추천! TED 강연 900만 회 조회! 자가면역질환, 암, 심장병, 위궤양, 만성 기관지염, 뇌졸중, 편두통… 어린 시절의 상처가 내 몸을 아프게 한다 트라우마가 정신 건강에 영향을 미치는 것은 많은 사람이 인지하고 있다. 게다가 우리는 보통 질병의 원인을 ‘담배를 많이 피워서’, ‘술을 많이 먹어서’, ‘짜고 기름진 음식을 많이 먹어서’, ‘운동을 안 해서’라는 식으로 개인의 나쁜 생활습관에서 찾는다. 하지만 지난 20년간 생물학, 면역학, 임상의학, 사회역학 등의 과학 분야에서 이루어진 연구들은 전혀 다른 결과를 내놓는다. 어린 시절에 겪은 극심하고 반복적인 스트레스가 자가면역질환, 비만, 심장병, 기대수명 단축 등 신체 건강에 커다란 영향을 미친다는 것이다. 소아과의사이자 공중보건 전문가인 네이딘 버크 해리스는 2007년 샌프란시스코의 가난한 동네인 베이뷰 헌터스 포인트에 진료소를 열었다. 그리고 그곳에서 심상치 않은 증상을 안고 진료실을 찾아오는 수많은 어린 환자를 만났다. 도무지 몸무게가 늘지 않아 심각한 성장부진을 겪는 아이부터 아빠가 벽을 내리칠 때마다 천식 증상이 심해지는 아이까지, 해리스는 학대, 무시, 방임, 부모의 알코올 및 약물 중독, 정신 질환, 이혼으로 아이들이 받은 정신적 상처가 몸에 극렬한 질병으로 나타나는 것을 생생하게 목격했다. 일반적인 치료법으로는 쉽게 건강을 회복하지 못하는 아이들을 만나서면서 해리스는 아동기에 겪은 부정적인 경험이 정신 건강뿐만 아니라 면역계와 뇌 발달에 심각한 영향을 미쳐 신체 건강에 까지 영향을 끼치는 것이 아닌가하는 강한 의문을 품는다. 『불행은 어떻게 질병으로 이어지는가』는 의사이자 공중보건 전문가인 저자가 지난 10년간 도무지 이해하기 힘들었던 신체 건강과 정신적 고통을 둘러싼 의문들을 해결하기 위해 최신 과학 연구에 근거해 실질적인 증거를 찾고 아동기의 부정적 경험이 주는 영향을 줄일 수 있는 방법을 임상에서 확인한 과정을 담은 책이다. 해리스는 진료 현장의 경험과 지식을 바탕으로 왜 아동기 트라우마 문제가 일어나는 것인지, 어린 시절 스트레스에 노출된 경험이 왜 중년기나 은퇴기에 건강 문제로 나타나는 것인지, 이에 대한 효과적인 치료법은 있는지, 우리와 우리 아이들의 건강을 지키기 위해서는 어떻게 해야 할지에 대한 물음들에 차근히 답한다.",BOOK,Psychology
0,books#volume,n6I8zAEACAAJ,https://www.googleapis.com/books/v1/volumes/n6I8zAEACAAJ,노인의 체육시설 이용만족도와 정신건강 및 신체건강의 관계,none,none,2016,none,BOOK,none
0,books#volume,j38REAAAQBAJ,https://www.googleapis.com/books/v1/volumes/j38REAAAQBAJ,이상한 나라의 심리학,김병수,인물과사상사,2020-11-13,"심리학은 내 마음을 들여다 볼 때도 도움이 되지만, 나를 둘러싼 바깥 세상을 이해하는 데도 도움이 된다. 이상하고 문제가 많은 세상에서 마음의 건강을 챙기기는 쉽지 않다. 세상의 풍경은 내면의 풍경도 바꿔놓기 때문이다. 『이상한 나라의 심리학』은 심리학을 이용해 우리가 미처 보지 못했던 세상의 이면을 보여준다. 혼란한 세상에서 마음이 어떻게 작동하는지 이해한다면 조금 더 건강하게, 마음을 덜 다치며 살 수 있을 것이다.",BOOK,Psychology
0,books#volume,APg6zAEACAAJ,https://www.googleapis.com/books/v1/volumes/APg6zAEACAAJ,정신장애인의 신체건강행동에 영향을 미치는 요인,none,none,2016,none,BOOK,none
0,books#volume,vqpsEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/vqpsEAAAQBAJ,겸손한 공감,김병수,더퀘스트,2022-04-27,"정신과 의사로 주목해온 변화무쌍한 세상과 사람들, 그 공감과 탐구의 기록 팬데믹 이후 많은 것들이 달라졌고 이에 적응하는 사람들의 정신건강에도 적지 않은 변화가 생겼다. 정신과 전문의인 저자는 변화무쌍한 세상과 사람들의 마음에 주목하였고 그 탐구의 기록을 글로 엮었다. 2년이 넘는 시간 동안 사람들은 혼란과 변화라는 단어에 익숙해졌지만 반대로 변하지 않는 삶의 가치들은 여전히 자리를 지키고 있었다. 이러한 변화를 계기로 저자는 자신을 포함한 사람들의 마음을 새롭게 살펴보고 세상을 관찰했다. 저자는 제일 먼저 정신과 의사로서 무엇을 해왔고 현재 무엇을 하고 있는지 스스로를 성찰하며 이야기를 시작한다. 내 얘기인 듯 아닌 듯한 내담자들의 사연과 의사로서 공감이 듬뿍 느껴진다. 이렇게 고난하고 복잡한 삶에도 불구하고 행복할 수 있는 방법에 대한 모색이 두 번째 이야기, 특별히 우울과 불안, 상처로 힘든 이들에게 전하는 말이 세 번째 이야기다. 마지막으로 펜데믹 시대 우리에게 필요한 마음 공부가 무엇인지 알려주면서 책이 마무리된다.",BOOK,Psychology
0,books#volume,t5JRzAEACAAJ,https://www.googleapis.com/books/v1/volumes/t5JRzAEACAAJ,이혼이 중·노년 남녀의 신체건강에 미치는 영향,none,none,2018,none,BOOK,none
0,books#volume,OGWnzwEACAAJ,https://www.googleapis.com/books/v1/volumes/OGWnzwEACAAJ,카지노 종사원의 감정노동이 신체건강 및 정신건강에 미치는 영향,none,none,2021,none,BOOK,none
