cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,7MnKAwAAQBAJ,https://www.googleapis.com/books/v1/volumes/7MnKAwAAQBAJ,피트니스가 내 몸을 망친다,송영규,위즈덤하우스,2010-03-13,none,BOOK,Health & Fitness
0,books#volume,Kv3MIOPsp_4C,https://www.googleapis.com/books/v1/volumes/Kv3MIOPsp_4C,Ysm Body Bible,Jodie Hedley-Ward,ReadHowYouWant.com,2011-01-23,"Now you can have your best body - ever! YSM Body Bible is a complete fitness guide for today's busy wife and mother.Written with the assistance of international figure champion and personal trainer Kelli Johnson, and endorsed by Terri Irwin, YSM Body Bible is the book today's busy mothers have been waiting for. Using the latest research findings on women's health and fitness, it is a holistic look at the body and includes detailed diet and exercise advice and programs, written in Jodie Hedley-Ward's simple and direct style, popularised in the successful You Sexy Mother series.The book also emphasises mental attitude and offers motivational advice on overcoming negative self-talk and limiting beliefs, as well as strategies on how to set oneself up for success. The detailed nutritional and exercise training programs in the book have been thoroughly tested and approved by experts, and have been devised especially with mothers in mind. This holistic program includes significant health and wellbeing contributions from Australasia's leading pelvic floor specialist, Mary O'Dwyer, and acclaimed clinical psychologist Dr Angela Huntsman this is vital information every mother needs to know! The author, a busy mother of two, uses herself as a guinea pig in the book to illustrate how the programs can work. YSM Body Bible is illustrated with photographs showing Jodie's amazing results.",BOOK,none
0,books#volume,mt6eN_dHvuYC,https://www.googleapis.com/books/v1/volumes/mt6eN_dHvuYC,Command Fitness Coordinator Orientation Manual,none,none,1991,none,BOOK,Physical fitness
0,books#volume,5U9awAEACAAJ,https://www.googleapis.com/books/v1/volumes/5U9awAEACAAJ,피트니스 건강운동지도,none,none,2016,none,BOOK,none
0,books#volume,ePCPAAAACAAJ,https://www.googleapis.com/books/v1/volumes/ePCPAAAACAAJ,아침 8분 운동,호르헤크루즈,none,2002-11-20,none,BOOK,Exercise
0,books#volume,DTPrAAAACAAJ,https://www.googleapis.com/books/v1/volumes/DTPrAAAACAAJ,건강하게 삽시다(KBS건강신서 4),KBS보도국편,none,1998-06-30,none,BOOK,Conduct of life
0,books#volume,Bg2mAAAACAAJ,https://www.googleapis.com/books/v1/volumes/Bg2mAAAACAAJ,Allround Fitness,Dieter Koschel,Meyer & Meyer Verlag,1999,"This is a diverse basic programme for obtaining all-round fitness, combining endurance training for beginners and simple relaxation techniques. A proven ten-hour programme, it can be carried out both indoors and outdoors. The book contains comprehensive guidelines for instructors as well as tips for setting up courses and groups.",BOOK,Health & Fitness
0,books#volume,jGHqPQAACAAJ,https://www.googleapis.com/books/v1/volumes/jGHqPQAACAAJ,The Controlled Advantage,James Michael Esse,none,2003,none,BOOK,Health & Fitness
0,books#volume,msXaAwAAQBAJ,https://www.googleapis.com/books/v1/volumes/msXaAwAAQBAJ,생존체력 이것은 살기위한 최소한의 운동이다,피톨로지,WisdomHouse,2014-06-05,none,BOOK,Exercise
0,books#volume,xCeqPgAACAAJ,https://www.googleapis.com/books/v1/volumes/xCeqPgAACAAJ,피트니스 워킹,THERESE IKNOIAN,none,2009-03-02,none,BOOK,none
0,books#volume,1at1AAAACAAJ,https://www.googleapis.com/books/v1/volumes/1at1AAAACAAJ,파워 피트니스 30분,앤마리밀라드,none,2004-07-21,none,BOOK,Physical fitness
0,books#volume,vkNntAEACAAJ,https://www.googleapis.com/books/v1/volumes/vkNntAEACAAJ,나에게 맞는 운동과 건강관리,뮐러볼파르트,none,2004-03-20,none,BOOK,Health
0,books#volume,1dzGSAAACAAJ,https://www.googleapis.com/books/v1/volumes/1dzGSAAACAAJ,웰니스: 뇌를 바꾸는 운동 혁명,박수현,none,2010-03-06,"Elaborates on the concept of wellness, which is not merely health without disease nor physical fitness for the sake of appreance, but ultimately for happiness and success as it stimulates and changes one's mind and brain .",BOOK,Cognition
0,books#volume,b54uMQAACAAJ,https://www.googleapis.com/books/v1/volumes/b54uMQAACAAJ,비욘드 트레이닝,벤그린필드,none,2016-12-05,none,BOOK,none
0,books#volume,K7qAAAAACAAJ,https://www.googleapis.com/books/v1/volumes/K7qAAAAACAAJ,현대인의 건강생활 완전가이드,편집부편,none,1994-05-01,none,BOOK,Health
0,books#volume,spcpAAAACAAJ,https://www.googleapis.com/books/v1/volumes/spcpAAAACAAJ,운동영양학(건강증진을 위한),이수천외,none,2004-08-30,none,BOOK,Exercise
0,books#volume,hah1AAAACAAJ,https://www.googleapis.com/books/v1/volumes/hah1AAAACAAJ,건강한 사람이 해야하는 운동 병이 있는 사람이 해야하는 운동,김명화,none,2000,none,BOOK,Exercise
0,books#volume,15B6AAAACAAJ,https://www.googleapis.com/books/v1/volumes/15B6AAAACAAJ,The Way to Health and Fitness,"International Masters Publishers, Incorporated",none,1996-02,"Provides health and fitness information designed to complement, not be a substitute for the advice of personal physicians, trainers or nutritionists.",BOOK,Exercise
0,books#volume,s-gFYAAACAAJ,https://www.googleapis.com/books/v1/volumes/s-gFYAAACAAJ,Total Fitness for Everyone-unfit to Superfit,"Walsh, Barry",none,1979,none,BOOK,Exercise
