cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,wYHqMAAACAAJ,https://www.googleapis.com/books/v1/volumes/wYHqMAAACAAJ,과학 수학,김성원,none,2008-02-25,none,BOOK,none
0,books#volume,eA3uDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/eA3uDwAAQBAJ,"어른을 위한 친절한 지식 교과서. 1: 사회, 과학, 수학, 국어",박현주 (기획),소울하우스,2019-12-15,"누군가 물어볼까 봐 불안한 질문에 대한 명쾌한 해답 “내가 알아야 할 모든 것은 이미 학교에서 배웠다!” 『엄마 반성문』 저자가 추천한 지식 소통의 길라잡이! 서울대학교 사범대학 최승원 명예교수 추천! 세계에서 두 번째로 큰 나라는? 사람과 공룡이 싸웠던 시대는 언제일까? 37+{16÷(9-5)×7-12}÷8은 어떤 순서로 계산해야 할까? 과목별 주요 개념을 알기 쉽게 정리한 어른 교과서로 사회, 과학, 수학, 국어의 핵심을 리마인드하자! 내가 알아야 할 모든 것은 이미 학교에서 배웠다! 그런데 학교에서 배웠던 내용의 십분의 일이라도 기억하고 있다면 얼마나 좋을까? π(파이) 값은 얼마인지, 세계에서 두 번째로 큰 나라는 어디인지, ‘어른으로써’와 ‘어른으로서’ 중 뭐가 맞는지, 이차방정식은 어떻게 푸는지?. 이 모든 답을 알고 있다면 좋겠지만, 아쉽게도 모두 잊어버린 분들, 그렇다고 다시 교과서를 펼쳐서 공부하기엔 엄두가 나지 않는 어른들을 위한 최고의 책.『어른을 위한 친절한 지식 교과서』, 일명 『어른 교과서』는 학교에서 배우는, 그리고 어른이라면 꼭 알아야 하는 기본 지식들을 콕콕 집어 재미있게 풀어낸다. 기존의 상식책의 내용에서 벗어나 쉽고 재미있는 어른들만의 교과서로, 비어가는 지식저장고를 가득 채우자. 이제 아이의 질문이나 지인들과의 대화가 두렵지 않을 것이다.",BOOK,none
0,books#volume,C2sYEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/C2sYEAAAQBAJ,데이터 과학을 위한 기초수학 with 파이썬,이병준,한빛아카데미(주),2021-01-06,4차 산업혁명 시대의 대명사는 데이터 과학입니다. 데이터 과학을 이해하려면 수학적 개념에 대한 이해가 선행되어야 합니다. 이 책은 데이터 과학을 공부하는 데 꼭 필요한 수학만 선별하여 파이썬 코딩과 함께 학습할 수 있도록 구성했습니다. 이 책을 통해 여러분은 데이터 과학에 한 발짝 더 가까워질 것입니다.,BOOK,Computers
0,books#volume,NSkvzAEACAAJ,https://www.googleapis.com/books/v1/volumes/NSkvzAEACAAJ,과학수학,none,none,1999,none,BOOK,none
0,books#volume,wTzvAgAAQBAJ,https://www.googleapis.com/books/v1/volumes/wTzvAgAAQBAJ,수학으로 통하는 과학 3 - 시간의 규칙을 찾아서,과학주머니,(주)자음과모음,2013-10-18,"흐르는 시간에 담긴 변치 않는 규칙을 잰다! 수학을 만난 과학 기초에서 응용까지 끝장나게 분해된다 개정 교육 과정에 꼭 필요한 과학·수학 융합 교과서 과학과 수학의 가장 입체적인 만남 스토리텔링으로 과학 창의력 · 수리 사고력을 잡는다 『과학자가 들려주는 과학 이야기』,『수학자가 들려주는 수학 이야기』,『철학자가 들려주는 철학 이야기』로 유명한 자음과모음에서,『수학으로 통하는 과학』시리즈로 과학과 수학의 입체적인 융합을 찾았다. 과학의 디딤돌이 되는 수학으로 명쾌하게 과학의 해답을 찾는다. 독자에게 과학적 창의력과 이해력, 수학적 사고력과 해석력을 동시에 선사한다. 이 시리즈는 우연히 마주한 사건 속에서 자연스럽게 생기는 과학적 수학적 호기심에 주목한다. 하나의 주제를 중심으로 한 여덟 가지 호기심을 흥미로운 에피소드로 풀었다.『수학으로 통하는 과학』은 등장인물들이 시행착오를 거치며 문제를 해결해나가는 ‘원리 탐구 과정’에 초점을 맞췄다. 단순히 대화체로만 바꾼 나열식 스토리텔링이 아니다. 사건과 대화의 맥락 속에 핵심 개념과 원리를 조화롭게 담아낸 것이『수학으로 통하는 과학』의 강점! 무엇보다 어린이의 눈높이에 맞는 사건을 통해 자연스럽게 핵심 개념에 다가간다. 현재 세 권이 출간되었다. 신간 책 소개 규칙적으로 흐르는 시간의 개념과 원리 지구의 운동, 약수와 배수로 파악한다 삼각형의 빗변에서 가속도를 이끌어 낸 , 거울과 렌즈를 이용해 빛의 직진·반사·굴절을 알아내는 모험을 담은 . 체계적으로 과학과 수학을 융합해온『수학으로 통하는 과학』시리즈가 2013년 10월 공들여 준비한 그 세 번째 이야기를 선보인다. 무언가 이끌리듯 훔쳐온 모래시계를 깨트리고 약 30년 전으로 이동하는 초이. 과거에서 어릴 적 엄마와 아빠인 분희와 재각이를 만나면서 시간의 핵심 개념을 찾는 신비한 여정이 시작된다. 『수학으로 통하는 과학』세 번째 이야기 는 시곗바늘도 못 읽던 초이가 그림자와 빗방울로 시간을 측정하고, 시계 숫자판과 톱니바퀴의 구조를 배워 시계의 원리를 파악하는 과정을 한 편의 시간여행에 담았다. 낮밤의 반복과 계절의 흐름을 지구의 자전·공전으로 직관적으로 설명하고, 시간의 단위와 달력의 구성을 약수·배수의 개념으로 명쾌하게 풀었다.",BOOK,Study Aids
0,books#volume,LTzvAgAAQBAJ,https://www.googleapis.com/books/v1/volumes/LTzvAgAAQBAJ,수학으로 통하는 과학 1 - 삼각형으로 스피드를 구해줘,정완상,(주)자음과모음,2013-10-18,"흐르는 시간에 담긴 변치 않는 규칙을 잰다!수학을 만난 과학 기초에서 응용까지 끝장나게 분해된다! 수학을 만난 과학 기초에서 응용까지 끝장나게 분해된다! 스토리텔링 학습의 결정판! 재미있게 읽다보면 수학과 과학이 모두 내 것! 교과통합형 개정 교육에 발맞춘 수학·과학의 융합 교과서 수학과 과학의 경계를 허물고 입체적인 융합을 통해 어린이들에게 ‘과학으로 수학보기, 수학으로 과학보기’를 흥미롭게 제안하는 시리즈가 출간되었다. 연계와 융합이 부족했던 과학 교육과 문제 풀이 위주의 수학 교육의 문제점을 해결하고 교과 통합형 인재를 키우는 것을 목표로 하는 8차 개정 교육과정에 발맞춘 본 시리즈는 ‘스토리텔링’을 통해 어린이들이 책을 읽으며 과학적 사고력과 수리적 상상력을 키울 수 있도록 기획되었다. 특히 과학(물리, 지구과학, 화학, 생물) 분야를 이해하기 위해 꼭 알아야 하는 핵심적인 개념을 초등 교육 과정의 기초적인 수학 원리로 자세히 설명해 주고, 다양한 실험과 사례를 인용한 토론식 구성으로 재미있게 접근할 수 있도록 했다. 이 책을 통해 ‘수학이 과학에 어떻게 적용되는지, 반대로 과학에 얼마나 많은 수학이 포함되는지’를 한눈에 파악할 수 있을 것이다. 총 20권으로 출간될 본 시리즈의 첫 번째 이야기, 에서는 르네상스 말기, 이탈리아의 과학자 갈릴레이의 초대로 피사왕국을 방문하게 된 주인공 자모스의 모험담을 그리고 있다. 한 번 마주한 문제는 끝장을 보고야 하는 좌충우돌 자모스는 물체의 빠르기를 나타내는 속력의 개념을 정의하고, 경사면을 내려오는 물체, 수직으로 떨어지는 물체, 줄에 매달려 움직이는 물체 등 다양하게 운동하는 물체의 속력을 풀어내고자 피사왕국의 레이왕, 소피아, 매직스 백작와 함께 머리를 맞대고 꼬리에 꼬리를 무는 토론을 통해 전개해간다. 부록에서는 이러한 원리가 우리의 생활에서는 실제로 어떻게 활용되는지가 ‘달리는 자동차의 속력을 측정해 작동하는 무인카메라의 원리’ ‘떨어지는 물체가 위험한 이유’를 통해 보충 설명돼 이해를 돕고 있다. 달리는 속력을 기록한 그래프에서 숨어 있는 삼각형을 발견하고는 삼각형의 닮음을 적용해 기가 막히게 속력을 구하게 되는 자모스와 함께라면 어느새 두루뭉술했던 속력의 개념이 명확해지고, 모호했던 삼각형의 성질도 확실히 이해할 수 있을 것이다. 수통과 시리즈의 특징 기초부터 응용까지 통으로 배운다. 초등학교 과정부터 중·고등학교 과정까지 연결되는 개념의 흐름을 따라 기본 원리부터 응용까지 순차적으로 기술하고 있기에 배운 내용의 복습과 더불어 앞으로 배우게 될 과정의 예습까지 가능하게 합니다. 학문의 경계가 무너진 융합적인 사고가 형성된다. 수학과 과학이 연계되는 맥락을 콕콕 집어 상세히 설명하고 있기에 주인공을 따라 꼬리에 꼬리를 물듯 질문을 던지다 보면 어느새 틀에 갇혀 있던 수리적 상상력과 과학적 창의성이 깨어납니다. 스토리텔링으로 논리력까지 잡는다. 딱딱하지 않는 이야기로 재미있게 풀어낸 사건들은 읽는 내내 웃음이 나게 만들뿐 아니라 수학과 과학이 어렵지 않은 매우 재미있고 흥미로운 학문임을 알게 합니다. 사건을 해결하기 위해 자모스 일행이 머리를 맞대고 토론을 하는 이야기 구조는 독자로 하여금 스스로 방법을 생각하고 정리해 보도록 유도하기에 논리력과 더불어 자기 주도 학습도 가능하게 합니다.",BOOK,Study Aids
0,books#volume,FA59zgEACAAJ,https://www.googleapis.com/books/v1/volumes/FA59zgEACAAJ,수학은 과학의 시다,세드리크빌라니,none,2021-05-28,none,BOOK,none
0,books#volume,UfDNDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/UfDNDwAAQBAJ,"이기는 스포츠, 수학 과학으로 답을 찾아라!",김승태,자음과모음,2020-02-04,"★ 새 교육과정을 반영한 과학·수학 융합 도서 0.01초의 승부, 스포츠 세계에서 배우는 수학?과학 더 빨리! 더 높이! 더 멀리! 스포츠의 승부를 좌우하는 비밀 병기 수학·과학의 원리를 찾아 나서다! 수학을 사랑하는 정신이와 과학을 좋아하는 체력이가 엉뚱하고 유쾌한 한계 삼촌과 함께 수영, 축구, 육상 등 다양한 스포츠의 역사와 경기 방식 그리고 그 속에 담겨 있는 수학과 과학의 원리를 찾아다닌다. 이 여정을 함께하면서 그들은 수학과 과학이 흔히 접하는 스포츠나 일상에 꽤 가까이 있었음을 알게 된다. 또한 다양한 스포츠를 직접 즐기는 것은 물론 무게 중심을 원리로 하는 수영의 다이빙, 마그누스 효과로 강력하게 휘어지는 축구의 슛, 던지는 각도가 중요한 원반던지기 등 스포츠 속 수학·과학을 발견하면서 땀 흘리며 배우고 즐겁게 익힌다.",BOOK,Education
0,books#volume,KjvvAgAAQBAJ,https://www.googleapis.com/books/v1/volumes/KjvvAgAAQBAJ,수학으로 통하는 과학 2 - 각도로 밝혀라 빛,강선화,(주)자음과모음,2013-10-18,"수학을 만난 과학 기초에서 응용까지 끝장나게 분해된다. 수학을 만난 과학 기초에서 응용까지 끝장나게 분해된다 ◆빛의 직진·반사·굴절을 각도와 함께 이해한다 빛과 색이 모두 사라진 거울 속 나라에 빨려든 향이와 빛나. 거울 속 나라에서 만난 까칠한 마법사 스넬리우스와 함께 잃어버린 빛의 조각을 찾아 나선다. 『수학으로 통하는 과학』 두 번째 이야기, 에서는 세 명의 주인공이 빛의 성질을 이해하고 빛을 찾는 놀라운 모험이 꼬리에 꼬리를 물고 펼쳐진다. 거울과 렌즈를 이용해 빛의 직진, 빛의 반사, 빛의 굴절을 알아내는 과정을 흥미진진한 이야기 속에 촘촘히 담겨 있다. 특히 빛의 성질을 이해하기 위해 꼭 알아야 하는 ‘각도’의 개념을 함께 이야기에 녹여 ‘빛’과 ‘각도’의 개념을 구체적·입체적으로 풀어냈다. ◆과학과 수학의 가장 입체적인 만남! 2013년 2월, 삼각형의 빗변에서 가속도를 이끌어 내는 흥미진진한 모험을 담아 화재를 모았던 . 체계적으로 과학과 수학을 융합한 『수학으로 통하는 과학』 시리즈가 2013년 6월, 그 두 번째 이야기 을 선보인다. 『수학으로 통하는 과학』 은 주입식 과학 교육과 문제 풀이 위주 수학 교육의 문제점에 대한 해결책을 ‘수학과 과학의 연결 고리’에서 찾았다. 과학에 다가가는 디딤돌이 되는 수학, 수학적으로 바라보면 훨씬 명쾌한 과학. 수학이나 과학 과목을 두려워하는 어린이·청소년 독자의 책장에, 이 두 마리의 토끼를 모두 선사하는 입체적인 기획이다. 무엇보다 독자의 눈높이 맞춰, 다양한 실례와 적합한 비유를 통해 여러 각도로 다양한 방식으로 개념을 제시한다. 과학과 수학의 교점에서 입체적인 융합을 짚어낸다. ◆알짜 스토리텔링을 이끌다 단순히 대화체로만 바꾼 나열식 스토리텔링이 아니다. 『수학으로 통하는 과학』 의 등장인물들은 우연히 마주한 사건 속에서 스스로 해결책을 찾아나간다. 그리고 그 과정에 자연스럽게 과학과 수학이 도구로 쓰인다. 소재가 아닌 맥락을 따라 자연스럽게 생기는 호기심. 등장인물들이 시행착오 속에서 그 호기심을 풀기 위해 궁리하는 ‘탐구 과정’에 초점을 맞춘다. 이야기 속 생각거리와 대화 속에 개념과 원리를 조화롭게 담아낸 것이 강점! 사고력과 수리적 상상력을 키울 수 있는 알짜 스토리텔링을 통해 ‘수학으로 과학보기’의 세계로 초대한다. 각도를 알면 빛이 속속들이 밝혀진다! “나는 향이. 내 동생 빛나가 깨우는 바람에 깊은 밤에 잠에서 깼어. 그런데 이게 무슨 일이지? 내 방에 있는 거울이 달빛을 삼키고 있잖아. 영문도 모르고 거울에 손을 대는 순간 우리는 거울 속으로 빨려들고 말았어. 도착한 곳은 어둠의 마법사가 빛을 빼앗은 거울 속 세상. 우리는 마법사 스넬리우스와 함께, 잃어버린 빛과 색을 찾아 나서기로 결심했어. 내가 겁은 많아도 궁금한 건 못 참거든. 그런데 빛을 제대로 이해하려면 꼭 알아야 하는 게 따로 있었어. 바로 각도! 호기심 대장 빛나, 까칠한 스넬리우스와 함께 빛의 조각을 찾다 보니, 나는 어느새 빛의 성질을 속속들이 파악하게 됐어. 거울과 렌즈로 빛을 반사하고 모으고 퍼트려 여러 번 위험을 모면하기도 했지. 빛의 조각을 찾는 신나는 모험, 함께 할래?” ◆2013 개정 교육 과정을 담은 과학-수학 융합 교과서 과학과 수학이 입체적으로 만났다 틀에 갇혀 있던 과학적 창의성과 수학적 사고력이 과학과 수학의 융합으로 깨어납니다 기초부터 응용까지 통으로 배운다 수학과 과학 교과 과정을 바탕으로 기초부터 응용까지 단계별로 풀어냅니다 스토리텔링 기법으로 논리력까지 잡았다 재미있게 풀어낸 이야기와 함께 생각하는 힘이 커지고 논리력이 자랍니다",BOOK,Study Aids
0,books#volume,L6w_swEACAAJ,https://www.googleapis.com/books/v1/volumes/L6w_swEACAAJ,초등 과학·수학지도는 이렇게!,none,none,2001,none,BOOK,none
