cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,enFdwAEACAAJ,https://www.googleapis.com/books/v1/volumes/enFdwAEACAAJ,e-비즈니스 투자현황 분석,none,none,2003,none,BOOK,none
0,books#volume,vmBnzgEACAAJ,https://www.googleapis.com/books/v1/volumes/vmBnzgEACAAJ,투자공부 365,한국비즈니스정보,none,2021-04-30,none,BOOK,none
0,books#volume,iy2sDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/iy2sDwAAQBAJ,슈퍼 스톡스,켄 피셔,Joongang Ilbo Plus,2019-09-03,"전 세계 전문 투자자들의 기본 전략서! 2009년 출간 이후 주식 투자의 영원한 바이블로 불리는 《슈퍼 스톡스》가 10년 만에 개정되어 독자들과 다시 만난다. 워런 버핏이 정신적 스승으로 모신다는 성장주 투자의 거장 필립 피셔의 아들이자 유일한 제자, 미국 언론이 인정한 정확한 시장 전문가이자 가치투자의 필수 지표 PSR의 창시자인 켄 피셔의 대표작으로, 3년 동안 약 10배의 수익을 안겨주는 슈퍼 스톡을 발굴하는 구체적인 방법을 소개한다. 저자가 이야기하는 슈퍼 스톡의 필수 조건은 결함이다. 장래가 유망한 성장 기업도, 큰 흑자를 기록하는 우량 기업도 사업을 하다 보면 필연적으로 제품 하자나 경영 미숙, 정세 변화 등의 치명적 결함이 발생하게 된다. 이는 투자자들의 우려 속에 일시적인 큰 폭의 가격 하락을 수반하는데, 이때 위기를 극복할 수 있는 슈퍼 컴퍼니에서 탄생하는 슈퍼 스톡을 적기에 포획하는 것이다. 저자는 이 책에서 슈퍼 스톡을 만들어내는 슈퍼 컴퍼니를 분별하는 방법을 통해 실패하지 않는 주식 투자법을 소개한다. 저자가 최초로 고안한 주식 지표 PSR(주가매출액비율)은 슈퍼 컴퍼니를 가려내는 주요한 기준으로 이 지표를 분석하면 주식 투자자는 가치에 비해 평가 절하된 주식 찾아 매수할 수 있다. 이와 더불어 PSR과 함께 기업을 다각도로 분석하는 방법을 제시해 다변하는 주식 시장에서 위기를 기회로 바꿔나갈 수 있도록 도와준다.",BOOK,Business & Economics
0,books#volume,kxZeCwAAQBAJ,https://www.googleapis.com/books/v1/volumes/kxZeCwAAQBAJ,부자아빠의비즈니스스쿨,로버트 기요사키,민음인,2015-12-29,??,BOOK,Business & Economics
0,books#volume,0UZsDgAAQBAJ,https://www.googleapis.com/books/v1/volumes/0UZsDgAAQBAJ,비즈니스 인 차이나,이경모,이콘,2016-12-29,"꾸준하고 유연하며 실리적이고 장기적인 나라 중국 우리는 정말 중국을 알고 비즈니스를 하고 있는가? 사람들은 중국시장의 가능성에 대하여 막연하게 이야기한다. 한 개씩만 팔아도, 점유율 1%만 차지해도 라는 말을 하며 시장의 크기를 중시한다. 하지만 사실 중국만큼 경쟁이 치열한 곳도 없다. 중국이라는 나라도, 그 나라에서 활동하고 있는 외국업체와 기존 중국업체도 절대 쉽게 시장을 내어주지 않는다. 그렇다면 어떻게 해야 그 속에서 성공을 거둘 수 있을까? 그 전에, 성공한 기업은 무엇을 뜻하는가? 과연 그들은 진정으로 수익을 거뒀고, 현재도 잘 나가고 있으며, 그 과실을 경험했을까? 비즈니스를 꿈꾸는 사람들이라면 꼭 생각해 봐야 할 이런 내용들이 해외진출에도 똑같이 작용한다. 이 책은 그 꿈을 구체화해 준다. 저자는 지난 15년간 중국에 거주하며, 중국에 진출하여 비즈니스를 하는 기업들을 대상으로 컨설팅을 해온 사람이다. 그러면서 중국에 진출한 기업이 성공하는 방법을 들려줬고, 모습을 보여줬으며, 꿈꿔온 사람이다. 그런 저자가 오랜 시간 공을 들여 책을 내놨다. 물론 한 권만으로 해결이 가능한 내용이 아니다. 이번에 내놓은 『I. 투자편』은 중국에 대한 이해와 진출전략, 투자방식, 구체적인 회사의 구조 등을 담고 있다. 향후 운영, 관리, 투자회수 등 기업의 라이프사이클에 맞추어 총 4권의 시리즈로 출간될 예정이다.",BOOK,Business & Economics
0,books#volume,iMqOzgEACAAJ,https://www.googleapis.com/books/v1/volumes/iMqOzgEACAAJ,저평가 우량주 투자지도,한국비즈니스정보,none,2021-07-30,none,BOOK,none
0,books#volume,8hjIDgAAQBAJ,https://www.googleapis.com/books/v1/volumes/8hjIDgAAQBAJ,주식시장의 마법사들,잭 슈웨거,Ire Media ,2017-02-01,"월스트리트 최고의 베스트셀러 작가이자 헤지펀드 전문가인 잭 슈웨거는 ‘시장의 마법사들’ 시리즈를 통해 금융시장의 다양한 마법사들을 밀도 있게 소개해왔다. 『주식시장의 마법사들』은 앞서 출간된 책과 구별되는 독특한 특징이 있다. 유명 트레이더들의 인터뷰만으로 끝나는 것이 아니라, 약세장 시기에는 해당 트레이더들이 어떻게 시장을 대하며 기존의 투자 철학과 원칙에는 변화가 없는지 A/S 개념의 후속 인터뷰를 추가한 것이다. 시장을 이겼던 마법사들의 마법이 제대로 작동하고 있는지 검증한 것이다. 이를 통해 독자들은 성공한 트레이더가 강세장과 약세장을 어떻게 대응하는지 엿볼 수 있을 것이다.",BOOK,Business & Economics
0,books#volume,RHObAwAAQBAJ,https://www.googleapis.com/books/v1/volumes/RHObAwAAQBAJ,부자 아빠의 21세기형 비즈니스,로버트 기요사키,Minumin,2014-02-03,"? 재테크 분야 고전으로 손꼽히는 <부자 아빠 가난한 아빠> 시리즈의 저자 로버트 기요사키가 <부자 아빠의 비즈니스 스쿨>에 이어 네트워크 마케팅에 관해 쓴 두 번째 책. 저자는 경제 상황이 아무리 힘들더라도 진짜 사업가들은 풍부한 경제적 기회를 발견해 자신만의 사업을 시작한다고 이야기하며, 그 사업 모델의 하나인 네트워크 마케팅의 핵심 가치를 소개한다. 저자는 부자 아빠로부터 돈과 비즈니스에 관한 남다른 교육을 받아 왔다. 부자의 마인드를 전수받으면서 돈을 관리하고 투자하고 사업을 운영하는 법, 경제적 안정을 위해 어떻게 미래를 대비해야 하는가에 대해 부자 아빠로부터 받아온 가르침들을 사람들에게 전하고 있다. 특히 이번 책은 정부나 회사로부터 미래를 보장받지 못하는 상황에서 부를 스스로 창조하고 타인과 함께 성장할 수 있는 네트워크 마케팅에서 새로운 활로를 찾을 것을 제안한다. 공저자 중 한 명인 존 플레밍이 40년 이상 네트워크 마케팅에 몸담은 경험을 바탕으로 이 시스템 전반에 대한 명쾌한 설명을 들려줌으로써 그 원리와 가치에 대한 모든 궁금증들을 해결해 준다.",BOOK,Business & Economics
0,books#volume,IfXvT_PPjGUC,https://www.googleapis.com/books/v1/volumes/IfXvT_PPjGUC,J.K. Lasser's Real Estate Investor's Tax Edge,Scott M. Estill,John Wiley & Sons,2009-10-16,"Top tax guidance for today's turbulent real estate market Despite the downturn in the real estate market, savvy investors can continue to capture profits by using money-saving tax strategies. In The Real Estate Investor's Tax Edge, authors Scott Estill and Stephanie Long provide all of the necessary tax planning techniques to lower your tax bill and fully capitalize upon your real estate investments. In addition to this, you'll learn how to protect your assets and avoid losses in a down market through smart tax planning strategies. Containing the most updated tax law information, and offering tax-planning tips geared toward today's real estate market, this reliable resource is a complete guide to managing your real estate taxes. Outlines effective strategies for legally reducing the impact of taxes on your real estate assets Offers detailed coverage of the newest tax laws and rules affecting real estate Focuses on tax smart techniques for making the most of your real estate investments In today's volatile real estate market, it's important to make the most of your assets by paying the legal minimum in taxes-no more and no less. The Real Estate Investor's Tax Edge will show you how to achieve this goal, and put you in a better position to profit during even the most difficult of times.",BOOK,Business & Economics
0,books#volume,vitTbwDfsN4C,https://www.googleapis.com/books/v1/volumes/vitTbwDfsN4C,The ETF Handbook,David J. Abner,John Wiley & Sons,2010-02-22,"The first technical guide to ETFs geared towards professional advisors, institutional investors, and financial professionals seeking to understand the mechanics of ETFs Author/trader Dave Abner has created The ETF Handbook as a resource for everyone utilizing these sophisticated tools. With this book as your guide, you'll learn from a professional ETF trader with practical guidance for valuation and best execution techniques. This reliable handbook skillfully touches upon the technical details of ETFs not covered elsewhere. From the mechanics of ETF development to pricing and valuation techniques, this guide provides a complete background on ETF mechanics and offers extensive insights on using them from a professional's perspective. It addresses how to position ETFs efficiently within a portfolio, and examines who ETF users are and how the funds are employed. Along the way, Abner also offers recommendations on where to find data related to these financial instruments. Contains the technical ETF information needed by today's financial professionals Includes pricing and valuation spreadsheets and an instructional webinar that walks you through the world of ETFs Touches upon topics such as calculating NAV (net asset value) and best practices for executing ETF order flow Filled with in-depth insights and expert advice, The ETF Handbook contains ETF information that is critical for virtually every financial professional.",BOOK,Business & Economics
