cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,LLuKDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/LLuKDwAAQBAJ,온가족튼튼양육,안창천,더나눔,none,D3는 모든 그리스도인을 주님의 지상명령에 순종하도록 훈련하는 ‘전도중심적 제자훈련시스템’입니다. 본서는 갓 믿은 신자가 믿고 반드시 알아야 할 다섯 가지 기본 내용을 소개하고 있습니다. 다섯 번의 만남을 통하여 자신도 모르는 사이에 믿음이 크게 자란 것을 발견하고 깜짝 놀라게 될 것입니다.,BOOK,Religion
0,books#volume,XQJJzgEACAAJ,https://www.googleapis.com/books/v1/volumes/XQJJzgEACAAJ,가족복지와 자녀양육관련 정책에 관한 연구,none,none,2001,none,BOOK,none
0,books#volume,k3h0tAEACAAJ,https://www.googleapis.com/books/v1/volumes/k3h0tAEACAAJ,가족과 자녀 양육,none,none,2016,none,BOOK,none
0,books#volume,vNCTEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/vNCTEAAAQBAJ,비혼이고 아이를 키웁니다,백지선,또다른우주,2022,"이성과 결혼해야만 가족을 이룰 수 있을까? 결혼도 출산도 아닌, 새로운 가족의 탄생! ★ 은유, 이다혜, 이민경, 김예지 강력 추천! ★ “정상적인 삶에 대한 환영을 지운 자리에 저마다 자기 삶의 지도를 그리도록 용기와 지침을 주는 책!” _은유 “‘비혼’은 혼자 산다는 뜻이 아니다.” _이다혜 “존재만으로 누군가에게 희망을 주는 가족 이야기!” _이민경 “삶의 선택지를 좀 더 넓고 다양하게 바라보게 해준다.” _김예지 한국 사회는 지난 수십 년간 이혼율이 급증하고 결혼율과 출생률이 급감했다. 결혼제도의 몰락은 서구에서 먼저 시작되었다. 유럽에서는 혼외출산율이 절반을 넘고, 미국에서도 절반에 육박한다. 사람은 누구나 돌봄과 부양을 주고받으며 살 수밖에 없는 존재다. 절박한 돌봄 수요와 경제적 어려움은 복지 제도가 어느 정도 해결해줄 수 있더라도 가까운 관계가 주는 정서적 만족감과 친교의 즐거움은 스스로 찾을 수밖에 없다. 이성과의 결혼을 전제로 한 가족이 아니라면, 사람들은 어디서 정서적 안정감과 친밀감을 얻을 수 있을까? 혼인에 기반한 전통적인 가족 관계를 대체하는 다양한 대안 가족에 대한 모색이 이루어지고 있다. 반려동물을 삶의 동반자로 선택하기도 하고, 친구와 동거하거나 따로 살더라도 서로 돌보며 일상을 공유하는 사람들이 늘어나고 있다. 『비혼이고 아이를 키웁니다』의 저자는 결혼하지 않고, 두 아이를 입양함으로써 또 다른 가족 형태를 제시한다. 저자는 수십 년 동안 따로 살아온 이성과 결합하는 결혼의 성공률보다는 입양의 성공률이 훨씬 더 높을 거라고 생각했고, 배우자 없이 어머니, 형제자매와 양육 공동체를 만들어 일종의 현대판 모계사회를 구현했다. 우리나라에서는 2006년 12월 30일자로 「입양촉진 및 절차에 관한 특례법」 시행규칙 개정으로 비혼자도 양육자로부터 분리된 보호대상아동을 입양하는 것이 가능해졌고, 법무부가 2021년 11월 9일자로 「민법」 및 「가사소송법」 일부개정법률안을 입법예고함으로써 누나와 합의하여 조카를 입양한 연예인 홍석천의 사례 같은 개인 간 합의에 의한 입양에서도 비혼자가 완전한 부모의 권리와 의무를 갖는 친양자 입양이 가능해졌다. 비혼자가 아기를 입양해서 키우는 소소한 일상의 이야기는 이 시대의 가장 민감한 정치적, 사회적 논란과 맞닿아 있다. 사회를 이루는 토대지만 많은 사람에게 불행의 원천이 되어 온 정상가족 이데올로기, 혈연과 양육에 대한 고정관념, 일부만 입양되고 대부분 보육시설에서 장기간 불안정한 지위로 살게 되는 보호대상아동의 열악한 현실 등은 가정과 아동보호를 둘러싼 논란이 어떻게 사회제도와 복지 시스템 정비로 이어져야 할지 여러 단서를 제시한다. 가부장제 가족의 틀 안에 자신을 가두지 않고 사회에서 목소리를 내온 여성 창작자들이 제일 먼저 이 책의 내용에 뜨거운 지지와 관심을 보내주어 주체적인 삶을 추구하는 여성들의 아름다운 연대가 이루어졌다. 『있지만 없는 아이들』, 『알지 못하는 아이의 죽음』 등의 작품을 통해 소외된 아이들의 삶을 대중의 관심으로 끌어올리기 위해 노력해온 은유는 “정상적인 삶에 대한 환영을 지운 자리에 저마다 자기 삶의 지도를 그리도록 용기와 지침을 주는 책”이라고 평했고, 영화와 문학, 여성에 대한 글을 쓰며 출판과 방송에서 활약해온 이다혜 「씨네21」 기자는 “남의 집 어린이에게 좋은 어른 되기”가 “출산하지 않은 내가 사회 구성원으로서 갖는 의식적 선량함”이며, “두 아이를 입양해 가족으로 함께 성장하는 저자를 보며, ‘비혼’이 혼자 산다는 뜻이 아님을 새삼 생각한다”고 소회를 토로했다. 『우리에겐 언어가 필요하다』로 페미니스트들의 열렬한 지지를 받은 문화인류학자 이민경은 수년 전 중국의 모계사회를 다룬 『어머니의 나라』를 번역하면서 편집자인 저자와 만나 비혼으로 두 아이를 입양한 사연을 알게 되었다. 그 후 이민경은 종종 가족에 대한 자신의 생각을 뒷받침하는 근거로 저자의 이야기를 사람들 앞에 종종 꺼내곤 했다고 한다. 그리고 이 책의 원고를 보자마자 “존재만으로 누군가에게 희망으로 제시하고 싶을 때마다 언급했던 그의 삶이 한 권의 책으로 나왔다”면서 가장 먼저 축하해 주었다. 『저 청소일 하는데요?』와 『다행히도 죽지 않았습니다』를 통해 ‘사회 불안 장애’로 고통받았던 과거와 청소일로 생계를 유지하며 그림을 그리는 삶을 선택한 현재를 공개해서 많은 젊은 여성들에게 희망과 용기를 준 그림작가 김예지는 예쁜 그림으로 이 책에 생동감을 불어넣는 한편, “내가 모르던 아름다운 연대의 세계를 따뜻하고 친절하게, 그리고 명확하고 객관적으로 알려주었다. 이 가족의 서사가 어쩌면 내 삶의 선택지를 좀 더 넓게 좀 더 다양하게 바라볼 수 있게 해준 것 같다”는 찬사를 보냈다. 돌봄과 부양을 주고받는 현대판 모계 가족의 탄생! 저자는 최후의 모계사회로 알려진 중국 윈난성 모쒀족에 대한 기사를 읽고 막연히 현대판 모계사회의 가능성을 꿈꾸다 2010년과 2013년, 차례로 아이를 입양해서 키우고 있다. 아이를 모계 가족과 공동 양육한 경험은 저자가 원가족을 다시 복원하며 유대감을 강화하는 과정이기도 했다. 오랜 세월 불행한 결혼 생활을 이어가며 자식들과도 서먹했던 어머니는 혈연에 대한 편견으로 가득했지만, 피 한 방울 섞이지 않은 손녀들을 “어르고 달래고 극진한 애정을 표현하고 편안하게 노닥거리면서 자식들에게는 한 번도 보여주지 않았던 사랑이 넘치는 모습을 보여주었다.” 이모들은 시간 날 때마다 아이들을 돌봐주고 외삼촌은 일손이 필요할 때마다 달려와 주었으며 외숙모는 여섯 살 많은 조카의 책과 옷, 장난감을 그때그때 정리해서 물려주었다. 자녀에게 양질의 삶을 보장할 수 없다면 출산을 포기하는 성향이 매우 강한 한국은 결혼율이 추락하는 한편 혼외출산율은 미미해서 전 세계적으로 유례없는 저출생국이 되었다. 아버지가 가족을 부양하고 어머니가 가사와 육아를 분담하는 핵가족 모델은 여성에게도 남성에게도 부담스러운 체제가 되었고 아이를 키우기는 점점 더 힘들어지고 있다. 맞벌이 부부들은 시집이나 친정 근처로 이사하거나 함께 살며 다시 확대가족으로 돌아가는 모습을 보여주고 있다. 저자의 가족이 양육 공동체를 일군 경험은 친정 식구의 돌봄 노동에 일방적으로 기대는 것이 아니라 모계 확대가족이 서로 돌봄과 부양을 주고받는 평등한 가족으로 거듭나는 과정이었다. 이것은 오래된 전통이다. 신사임당은 친정에서 자유롭게 살던 어머니와 함께 외가에서 자랐고, 결혼 후에도 오랫동안 친정에서 아이들을 키웠다. 남편보다 친정어머니를 훨씬 더 사랑했고 당대에 예술가로 이름을 떨쳤던 그녀를 성리학자들은 현모양처라고 부르며 남편과 아들에게 종속된 존재로 깎아내리려고 애썼다. 엄마와 아빠만 있는 핵가족 안에서 아이를 키우기는 힘들다. 기존 핵가족 모델이 무너지고 있지만 다른 대안이 없는 상태에서 유럽이나 미국처럼 혼외출산율이 증가하는 것 역시 각종 사회문제를 악화시킬 수 있다. 아이를 키우려면 돌봄과 부양을 주고받는 돌봄 공동체가 필요하다. 급속한 고령화로 노인과 환자에 대한 돌봄 수요도 폭발하고 있다. 복지 제도를 잘 갖춘다 해도 개개인의 정서적 만족과 사적인 돌봄 수요를 공공에서 해결하는 데에는 한계가 크다. 아이를 키우기 힘들고 노인과 환자를 돌보기 어려운 것은 무엇보다도 일·가정 양립의 어려움 때문이다. 모든 여성과 남성이 아이를 키우면서, 또는 노인과 아픈 가족을 돌보면서 큰 지장 없이 경제활동을 하는 사회를 만드는 것이, 양육의 어려움과 노후 빈곤, 고령화 사회의 돌봄 문제, 국가 재정 악화를 해결할 유일한 해법이다. 모든 사람이 각자 친밀하고 편안한 사람들로 가족을 이루거나 심리적·사회적 안전망을 구축해서, 누구나 타인을 돌보면서 자신도 돌봄을 받을 수 있어야 한다. 가족에 대한 사랑에서 세상을 바꾸는 사랑으로! 어린 시절 버락 오바마는 엘리베이터에서 젊은 흑인 남성과 마주친 할머니가 흠칫 놀라며 경계하는 것을 보았다. 흑인 남성 하면 바로 범죄자를 연상하는 편견에서 할머니 역시 자유롭지 않았다. 그러나 백인 할머니는 흑인 손자를 이 세상 누구보다도 아끼고 헌신적으로 돌봐 대통령으로 키워냈다. 혈연 중심주의와 정상가족 이데올로기의 화신이었던 저자의 어머니는 피 한 방울 섞이지 않은 손녀들에게 사랑이 넘치는 할머니가 되었다. 누군가를 사랑하고 그 사람의 눈으로 세상을 바라보는 것은 양극화와 혐오, 편견, 차별로 얼룩진 이 세상을 바꿀 수 있는 가장 강한 동력이다. “인간이 살아오면서 쌓아온 모든 고정관념과 경험의 한계를 넘어서게 해주는 것, 그것이 바로 사랑의 힘이다. 사랑은 딱딱하게 굳어 있는 마음을 녹여 진정한 변화로 이끈다.” 저자는 보호대상아동을 입양한 경험으로 위기 아동들에게 깊은 관심을 갖게 되었다. 학대와 방임으로 양육자와 분리되었거나 양육자가 부재해 국가가 보호하는 아동을 보호대상아동이라고 한다. 보호대상아동 대다수는 부모의 친권이 살아 있어 입양 대상이 아니지만, 입양이 가능한 아동들도 상당수가 입양되지 못한다. 입양 대상 아동보다 입양 희망 가정이 적은 국내 현실 때문이다. 국외 입양 반대 목소리가 높은데도 금지하지 못하는 이유다. 보호대상아동 다수는 보육시설에서 불안정한 지위로 양육되다가 어른이 된다. 2021년 보건복지부 국정감사에서 친권자가 있는 아동 시설 위탁 아동 10명 중 3명이 부모와 3년 이상 연락 두절 상태라는 현실이 지적되었다. 아동과 연락을 주고받은 경우에도 대부분 전화 통화였고, 직접 찾아와서 만난 경우는 13.7%에 그쳤다고 한다. _「비혼 입양」 아동 인권을 보호하기 위해 부모의 친권을 제약하는 데 공공에서 나서길 꺼리므로, 부모가 전혀 양육할 의사가 없어 10년간 대신 키운 위탁가정에서 아이를 입양하려 해도 불가능하고, 학대나 방임으로 분리한 아동도 부모가 원하면 손쉽게 다시 데려갈 수 있으며, 아이를 학대해서 죽인 부모도 별도의 관리 없이 남은 자녀를 키운다. 신원이 노출되지 않으려고 부모가 베이비박스에 맡긴 아기들은 공공기관이 출생신고와 관련된 문제를 해결해주지 않아 대부분 입양 절차를 밟지 못해 시설에서 양육되었고, 최근에야 시민단체에서 위탁가정을 대거 모집해 일단은 가정에서 보호받게 되었다. 우리나라와 경제 수준이 비슷한 국가들에서는 입양 희망 가정이 입양 대상 아동보다 많고, 일시적 보호가 필요한 아동들도 대부분 위탁가정에서 보호받는다. 오랫동안 아동보호 제도를 발달시킨 나라들은 아동을 집단시설이 아닌 가정에서 돌봐야 한다는 원칙이 있다. 혈연 중심주의를 관철하려고 하거나 위기 아동 문제 중에서도 일부 문제에만 관심을 기울이는 사람들이 아동보호와 관련된 각종 정책과 제도에 영향력을 행사하면서 입양률이 감소하고 위탁가정은 좀처럼 늘지 않으며 직접 아동보호에 투입되는 예산은 우선순위에서 밀리고 있다. 친부모든 입양부모든 위탁가정이든, 부모가 아니라, 어른이 아니라, 아동의 인권과 복리 증진이 모든 정책과 결정의 기준이 되어야 한다. 정부에서 아동학대에 단호하게 대처한다면 양육자와 분리되는 아동이 급증할 것이다. 아이들을 보호하기 위해 위탁가정이 시급하게 늘어나야 한다. 위기가정에 조기에 개입하는 것은 위기 아동이 가출 청소년이 되지 않도록, 그들 역시 무책임한 부모가 되지 않도록 예방하는 일이기도 하다. 내 가족에 대한 사랑, 내 아이에 대한 사랑이 사회로 확대되어야 우리나라가 진정한 복지국가가 될 수 있다. “사람은 사랑으로 산다. 가장 가까운 대상과의 사랑이 씨앗이 되어 이웃에 대한 사랑, 약자에 대한 사랑으로 확대될 때 이 세상은 정말 살 만한 세상이 될 것이다.”",BOOK,Literary Collections
0,books#volume,zwoUEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/zwoUEAAAQBAJ,"가족, 넌 괜찮니?",신영호,좋은땅,2021-01-08,"“당신에게 가장 소중한 것은 무엇입니까?” 이 질문에 대한 당신의 대답 역시, ‘가족’인가요? 그렇다면, ‘가족 넌 괜찮아?’라고 묻거나 관심을 보여야 한다. 일에 파묻혀 이리저리 분주하게 서로 바쁘게 뛰어다니느라 ‘괜찮아!’, ‘힘들지. 수고했다!’라는 따뜻한 말 한마디 못한 채 살아간다면 내일은 더 삭막해진다. “건강하고 행복하게 살아라”라고 모든 부모가 자녀에게 당부하지만, ‘건강하고 행복한 삶이란 이런거야~’라며 삶으로 보여 주지 못하기 때문에 안타까움만 커진다. 다가올 미래는 ‘위기 자체가 삶의 현장’이라고 해도 틀린 말이 아닐 정도로, 위기가 꼬리를 무는 시대가 될 가능성이 크다. 저성장과 경제 침체로 불안감이 고조된 상황에서 코로나 19와 자연재해까지 겹쳐 공포는 극에 달하고 있다. 위기에 맞설 용기와 옆에서 함께 견뎌 줄 사람만 있다면 기회는 온다. 함께 견디면 위기는 곧 기회가 된다. 위기의 시대에 ‘가족과 함께!’ 위기에서 기회로 전환되길 소망한다.",BOOK,Family & Relationships
0,books#volume,tnfwOQAACAAJ,https://www.googleapis.com/books/v1/volumes/tnfwOQAACAAJ,온가족튼튼양육(D3양육시스템 양육기초과정),안창천,none,2008-09-08,none,BOOK,none
0,books#volume,s0C7tAEACAAJ,https://www.googleapis.com/books/v1/volumes/s0C7tAEACAAJ,저출산 사회의 결혼.자녀양육과 가족생활 연구,none,none,2007,none,BOOK,none
0,books#volume,JG2BDQAAQBAJ,https://www.googleapis.com/books/v1/volumes/JG2BDQAAQBAJ,강학중 박사의 가족 수업,강학중,김영사,2010-05-17,"가정경영전문가 강학중 박사가 전하는 가족을 위한 행복의 기술 『가족수업』. 저자가 지난 10년간 가정경영연구소를 운영하며 연구한 가정경영 전략과 수많은 가족들을 상담하고 교육하며 깨닫게 된 가족 관계 해결 방법 등 행복한 가정을 설계하고 가족문제를 예방하기 위한 지침을 소개한다. 특히 주먹구구식 가정생활을 벗어나 전략적으로 가족생활 주기와 부부의 역할, 자녀 양육을 관리할 수 있도록 하였다",BOOK,House & Home
0,books#volume,zkeYjvuCAm4C,https://www.googleapis.com/books/v1/volumes/zkeYjvuCAm4C,가족과 사회복지,양옥경,Ewha Womans University Press,2005,none,BOOK,Families
0,books#volume,ucRtzQEACAAJ,https://www.googleapis.com/books/v1/volumes/ucRtzQEACAAJ,미혼모가족의 출산 및 양육 특성과 정책과제(연구보고서 2019-20),변수정,none,2019-12,none,BOOK,none
