cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,MIdSzwEACAAJ,https://www.googleapis.com/books/v1/volumes/MIdSzwEACAAJ,아트예술디자인 모음사례집(개정판 2판),워크디자인북편집부,none,2022-09-20,none,BOOK,none
0,books#volume,unDFzgEACAAJ,https://www.googleapis.com/books/v1/volumes/unDFzgEACAAJ,예술디자인의 종합모음집(개정판 11판),탑이미지편집부,none,2022-03-30,none,BOOK,none
0,books#volume,l9C0pwAACAAJ,https://www.googleapis.com/books/v1/volumes/l9C0pwAACAAJ,신 디자인 정책고,김정,none,2011-12-05,none,BOOK,Art and design
0,books#volume,nmuVMgAACAAJ,https://www.googleapis.com/books/v1/volumes/nmuVMgAACAAJ,예술로서의 디자인,브루노무나리,none,1976-09-01,이탈리아 디자이너의 에세이식 디자인 개론서. `장미 는 장미가 장미이고``공상적인 상품`등 44편의 글을 통해 생활 속에서 발견하는 디자인의 여러 문제들을 고찰하고 그에 따른 갖가지 실험적 발상을 기술했다.,BOOK,none
0,books#volume,lm1iCwAAQBAJ,https://www.googleapis.com/books/v1/volumes/lm1iCwAAQBAJ,시간을 이긴 디자인 10선,조영식,CommunicationBooks,2015-11-01,"최신식, 최첨단, 초소형, 초박형, 초경량 제품들이 범람한다. 지난 제품과 차별하기 위해 여러 수식어들이 동원된다. 기업들은 신제품이 기업의 생존을 보장해 준다는 신념을 가지고 있다. 하지만 치열한 경쟁 탓에 최첨단 기술과 최신 디자인도 시장에서 별로 반응하지 않고, 연구 개발 예산은 가중되고 있다. 이제 오랫동안 제작되고, 판매되고, 사용되는 스테디셀링 모델이 필요하다. 제품의 판매량이 늘어날수록 생산원가는 낮아지고 그 결과 낮은 판매 가격으로 더 많은 소비자를 확보할 수 있다. 이를 위해 두 가지 요소가 필요하다. 오랫동안 사용할 수 있도록 튼튼해야 하고 싫증나지 않아야 한다. 시간을 이긴 튼튼한 디자인을 살펴보는 이유다.",BOOK,Art
0,books#volume,jajWDgAAQBAJ,https://www.googleapis.com/books/v1/volumes/jajWDgAAQBAJ,영화의상 디자인 2017 개정판,김유선,CommunicationBooks,2017-03-27,"영화의상 디자이너가 알아야 할 모든 것 영화 속 캐릭터를 완성하는 요소는 무엇인가. 물론 연기가 가장 중요하다. 그러나 그 연기에 개연성을 더해 주는 것은 의상이다. 의상은 캐릭터의 외형을 형성하며 내면을 직접적으로 드러내거나 함축한다. 그래서 영화의상은 곧 시각예술이며, 독립적인 영상 언어다. 이 책은 영화의상에 대한 국내 최초의 전문서다. 7년 전 초판이 나온 이후 영화의상을 공부하는 학생들에게 꾸준한 호평을 받은 교과서일 뿐 아니라 영화 현장의 실무 디자이너들에게도 현장을 이해하는 안내서로도 역할했다. 1993년 <세상 밖으로>로 영화 의상에 첫발 디딘 후 <살인의 추억> <분홍신> <루시드 드림> 등 50여 편의 필모그래피를 지닌 저자가 현장에서 몸소 겪은 체험을 바탕으로 이론과 방법을 전개한 후 실례를 보여줌으로써 영화의상 디자인 작업을 보다 쉽게 이해할 수 있게 했다. 개정판의 특징 초판에서 미흡했던 부분을 보강했다. 특히 이 책의 핵심인 콘셉트 구상 부분은 새로운 자료를 추가해 다시 정리했다. 변화된 영화 작업 환경과 달라진 시스템도 반영했다. 그리고 디자이너가 능동적인 역할을 할 수 있도록, 실질적인 조언을 더했다. 책의 구성 이 책은 총 12장으로 이루어졌다. 1장에서는 영화의상에 대한 개념과 의미를 설명하고, 2장에서는 영화의상 디자인의 업무를 미리 이해할 수 있도록 영화의상 디자인의 개념과 프로세스를 소개한다. 3장부터 11장까지는 영화의상 디자인의 핵심적인 업무―콘셉트, 세부 디자인, 디자인의 구현, 프로덕션에서의 의상 디자인에 대한 창조적인 접근 방법과 체계적인 작업 방식을 자세하게 설명했다. 이 부분에서는 특별히 저자가 1990년대 초반부터 참여했던 작품을 실례로 적용하여 보다 이해하기 쉽도록 했다. 마지막으로 12장에서는 영화의상 디자인 작업에서 필요한 커뮤니케이션 업무를 세심하게 다루어 영화작업을 이해할 수 있도록 했다. 또한 영화의상 디자이너를 위한 팁(tip)으로 영화의상 디자이너에게 필요한 조언과, 영화의상 디자이너가 참고할 만한 영화목록, 현재 활동 중인 영화의상 디자이너에 대한 정보 등도 수록했다.",BOOK,Art
0,books#volume,yvGhCwAAQBAJ,https://www.googleapis.com/books/v1/volumes/yvGhCwAAQBAJ,2014 디자인백서,한국공예디자인문화진흥원,한국공예디자인문화진흥원,2015-11-27,『디자인백서(2014)』는 문화체육관광부와 한국공예ㆍ디자인문화진흥원의 공동 사업으로 앞서 나온〈2010-2011 디자인백서〉와 〈2012-2013 디자인백서〉에 이어 발간된 것이다. 이 책의 조사 대상 기간은 2014년 1월부터 2014년 12월까지다. 이 기간에 우리나라에서 일어난 분야별 디자인 관련 활동을 조사하여 체계적으로 정리하고 요약하고 동시에 향후 디자인 분야의 데이터베이스를 구축하여 신뢰성 있는 디자인 정책을 수립하기 위한 정책 자료 확보를 염두에 두고 수행되었다.,BOOK,Art
0,books#volume,2Q1hEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/2Q1hEAAAQBAJ,작가주의 감독 영화,이태훈,CommunicationBooks,2022-02-17,"예술성으로 승부하는 작가주의 영화들 코엔 형제, 스탠리 큐브릭, 왕가위, 봉준호 등 상업영화 뛰어넘는 대중성도 갖춰 상업적인 환경의 제한된 프레임 속에서 영화 속 예술적 가치를 추구하는 영화를 작가주의 영화라고 한다. 영화제작에서 감독이 자신의 주제 의식을 드러내고 자기 생각을 전달하면서 영화 전반에 표현된 전체의 미를 예술적으로 잘 승화시킨 영화를 말한다. 작가주의 영화에서 감독은 영화를 리드, 조절하는 최종적인 주인이다. 작가주의 감독은 주제의 탁월함과 고유의 스타일을 통해 작품의 내적 의미를 완성시키는 예술가적 역량과 함께 시각적인 방법을 통해서 이를 반영시켜야 한다는 면에서 탁월한 표현 기술 능력을 보여 준다 ‘어른 동화’라는 독특한 이야기 구조와 영상 스타일로 주목받는 웨스 앤더슨(Wes Anderson) 감독은 블랙 코미디 색채의 극 구성을 바탕으로 패셔너블한 영상 스타일을 표현한다. 반대 정서의 배경음악 설정 등 기존의 영상 문법을 뒤엎는 뉴웨이브적 발상과 표현으로 강한 충격과 묘한 여운을 남기는 작품으로 유명하다. 영화 역사상 가장 혁신적인 영상을 만들어낸 스탠리 큐브릭 감독의 <시계태엽 오렌지>는 파격적인 소재와 수준 높은 예술적 표현기법으로 주목을 끌었다. 아카데미 감독상 등 4개 부문 수상한 코엔 형제의 <노인을 위한 나라는 없다>와 왕가위 감독의 <화양연화>도 작가주의 영화다. <살인의 추억> <설국열차> <기생충> 등으로 한국 사회의 현실적 모습을 섬세하게 반영하고 서민계급의 이상향 세계에 대한 갈망 표현을 교육, 계몽적으로 묘사한 봉준호 감독의 영화도 이들과 견줄만하다. 상업적 제작 환경과 컴퓨터그래픽 등 영상미에 의존하는 경향으로 오락성 영화가 난무하는 가운데서도 사회에 대한 인문학적인 고찰을 추구하는 예술성 높은 작가주의 영화들이 상업 영화를 뛰어넘는 가능성을 보여주고 있는 것은 고무적이다. 이 책에서는 독창적인 영역을 구축한 대표적인 작가주의 감독 영화의 예술적 가치와 영상화법을 분석한다. 이를 통해 대중예술에 대한 정의를 보다 이해하기 쉽게 정립시키고 영화에 대한 지식 확대 및 예술적 안목을 넓혀주고자 한다. 상업적 영화가 추구하지 못한 전위 예술의 선구적인 측면을 통해 감독의 ‘정신의 내적 필연성’을 발견하게 될 것이다.",BOOK,Art
0,books#volume,SCk8AwAAQBAJ,https://www.googleapis.com/books/v1/volumes/SCk8AwAAQBAJ,에코문화디자인을 교육하다 I,강희정,Nubrid,2012-12-10,none,BOOK,Art
0,books#volume,A6Y6zwEACAAJ,https://www.googleapis.com/books/v1/volumes/A6Y6zwEACAAJ,사인디자인과 예술디자인의 최신경향,월드해피북스편집부,none,2022-09-20,none,BOOK,none
