cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,PzkwnAEACAAJ,https://www.googleapis.com/books/v1/volumes/PzkwnAEACAAJ,영어탈피 세트(전4권),우공이산외국어연구소,none,2013-04-01,none,BOOK,none
0,books#volume,RQpHCgAAQBAJ,https://www.googleapis.com/books/v1/volumes/RQpHCgAAQBAJ,"영어몰입교육, 11세에 끝내라",유수경,아라크네,2015-06-15,"영어를 국어처럼 말하게 하는 영어몰입교육! 7세에 시작해도 초등학교 4학년이면 충분하다! 영어 교육의 마지막 목표는 결국 영어를 국어만큼이나 능숙하게 읽고 듣고 쓰고 말하기이다. 최근 대한민국 영어교육 트렌드로 부상한 ‘영어몰입교육’ 또한 결국 4개 영역의 완성을 위한 것이다. 가장 좋은 공부 방법은 꾸준히 열심히 노력하는 것이다. 그런데 이왕이면 시간 낭비 말고 요령 있게 학습하는 법을 배우자. 그러기 위해 반드시 숙지해야 할 전략들이 있다. 이 책에서는 이중언어자 만들기 프로젝트를 성공시킨 저자의 경험들을 소개한다. 다양한 성공 사례를 통해 엄마가 가정에서 충분히 활용해 줄 수 있는 것을 중심으로 읽기(Reading), 듣기(Listening), 쓰기(Writing), 말하기(Speaking)의 네 가지 영역에 걸친 학습 전략 및 방법을 소개한다. 이 책에서 제시하는 대로 아이의 영어 학습을 이끌어준다면 분명 우리가 원하는 수준까지 내 아이를 끌어 올릴 수 있다. 조기 영어교육을 못했어도 가능하다 내 아이의 영어 교육에 관한 다양한 팁을 주는 것이 장점 이 책은 조기 영어교육에 관한 예전의 실용서들과는 성격이 다르다. 시작부터 이미 조기 영어교육을 놓쳤다고 생각하고 가슴 졸이며 고민하고 있는 엄마들, 그리고 시작은 했지만 이렇다 할 성과를 아직 내지 못하고 있는 엄마들을 위한 길라잡이 실용서이다. 이 책을 통해 선험자의 좋은 교육 사례를 들어볼 수 있을 뿐만 아니라, 이론과 실전을 겸비한 채 17년 동안 교육 현장을 지휘하며 직접 이중언어자를 길러내고 있는 필자의 경험과 조언을 들을 수 있다. 필자 역시 영어교육 전문가이기 이전에, 한국에서 아이를 키우며 영어를 어떻게 가르쳐야 하나 하는 고민을 똑같이 했고 지금도 그 숙제를 안고 있는 현장의 엄마이기도 하다. 엄마이기에 겪는 어려움을 직접 느끼고 있기에 더욱 냉철한 눈과 마음을 갖게 되었다. 그에 따라 이 책에서는 내 아이의 영어 교육을 어떻게 진두지휘할지 현장의 경험을 토대로 다양한 팁(tips)을 주고 있다. 영어몰입교육이란? 저자는 전문가의 입장에서 볼 때 영어몰입교육은 가능한 한 빨리 이루어져야 한다고 말한다. 사실 이미 사교육 현장에서는 영어몰입교육을 실시하고 있다. 영훈 사립초등학교 및 특목 중, 고등학교에서 영어몰입교육은 더 이상 생소한 말이 아니다. 외국어 몰입교육은 제2차 세계대전 당시 전쟁에 참가한 군인들의 원활한 의사소통을 위한 ‘외국어 집중훈련과정’에서 시작됐다. 그 후 지금까지 수없이 많은 시행착오를 거치며 발전돼 왔다. 그 이후 몰입은 새로운 형태의 교육방법으로 나타났다. 외국어 몰입교육을 제일 처음 실시한 나라는 캐나다이다. 캐나다의 목표어는 프랑스어였다. 즉, 프랑스어로일반 교과목(과학, 수학, 사회, 인문, 예체능 등)을 가르쳤다. 따라서 우리의 경우 목표어가 영어이므로 영어로 전 과목을 가르치게 되는 경우를 몰입교육이라고 이해하면 된다. 몰입교육의 근본 목표는 ‘언어(Language)’는 물론 그 언어로 모든 교과목을 학습하게 하는 것이다. 학습자는 각 교과목의 내용을 영어로 이해하고 원활한 의사소통을 하게 된다. 즉, 두 개 국어를 자유자재로 사용할 수 있는 이중언어 구사자를 양성하는 데 목적을 두고 있다. 몰입교육은 캐나다를 시작으로 미국, 유럽, 아시아 등 세계 여러 나라에서 이미 많은 성공 사례를 낳으며 새로운 외국어 교육의 역사를 쓰고 있다. 그리고 언어와 내용을 동시에 학습하는 영어몰입교육은 분명 대한민국 영어 시장의 새로운 트렌드로 자리 잡고 있다. 어떻게 하면 영어몰입교육에 성공할까? 첫째, 성공한 엄마들의 정신을 따라잡아라. 둘째, 각 연령에 맞는 다양한 컨텐츠(contents)로 몰입교육을 실천하라. 비록 시작이 조금 늦었더라도 실망할 필요는 없다. 아이들에게는 모두 개인차가 있어 이렇다 저렇다 논하기가 매우 어렵다. 조금 늦게 시작하더라도 전문가의 정확하고 순차적인 방법에 따라 천천히 시작하면 누구나 할 수 있다. 영어교육은 단시간에 이루어지는 것이 아니다. 멀리, 크게 내다봐야 한다. 내 아이의 영어교육에 소홀히 했거나 혹은 그 방법이 잘못됐다면 이제부터라도 다시 시작하는 마음으로 신발 끈을 질끈 묶어주길 바란다. 이 책은 그러한 부모에게 도움이 될 수 있도록 영어몰입교육의 과정을 네 개의 장으로 나누어 친절히 설명하고 있다. 1장은 7세부터 초등 1학년을 위한 영어 학습 전략이다. 영어그림사전을 활용하는 법, 영어 동요를 활용하는 법, 영어 비디오를 보여주는 방법, 그리고 영어 보조 학습자료를 선택하는 방법까지 세밀하게 일러준다. 2장은 초등 2학년부터 4학년까지의 학습 전략이다. 동작 동사를 가르쳐야 하는 이유, 교재 선별 법, 영어 동화의 세계로 아이를 이끌기, 영어 일기를 쓰게 하는 방법, 정확히 질문하고 대답하는 법 등이 들어 있다. 3장에서는 읽기, 듣기, 쓰기, 말하기 전략을 보여준다. 내 아이의 특장점을 찾아낸 후에 각각의 전략들을 활용하는 법을 일러준다. 특히 1,000권 읽기 다독 프로젝트를 통해 아이의 실력을 끌어올리게 해준다. 4장에서는 영어 학습 보조 자료를 소개해 놓았다. 수입 영어 교과서와 온라인 학습 사이트는 물론 각종 교재와 보조 자료를 풍부하게 설명해 놓았다. Arachne Publishing Company.",BOOK,Family & Relationships
0,books#volume,6Bv6MgEACAAJ,https://www.googleapis.com/books/v1/volumes/6Bv6MgEACAAJ,영어탈피(첫걸음편),우공이산외국어연구소,none,2012-08-15,none,BOOK,none
0,books#volume,j0TfMgEACAAJ,https://www.googleapis.com/books/v1/volumes/j0TfMgEACAAJ,영어탈피(상),우공이산외국어연구소,none,2011-03-01,none,BOOK,none
0,books#volume,E_cYCgAAQBAJ,https://www.googleapis.com/books/v1/volumes/E_cYCgAAQBAJ,빌 게이츠 영어 명연설 - 영어 리스닝 & 암송 훈련 어학교재,쿨라인미디어 편집부,쿨라인미디어,2015-07-06,"[빌 게이츠 영어 명연설] - 영어 리스닝 & 암송 훈련 어학교재 |§ 본서의 특징 §| ※ 책 속에 비디오와 오디오가 자체 포함되어 있습니다! ▶ 본서는 세계적인 명사들의 영어 명연설을 외움으로써 영어 능력을 향상시키고자 하는 분들을 위해 만들어졌습니다. ▶ 영어 연설문 외우기는 영어뉴스나 미드를 통한 영어 학습 못지않게 매우 효과적인 영어 공부법입니다. 하지만 무계획적으로 시도하면 도중에 포기하기 쉬워 생각보다 만만치 않는 공부법이기도 합니다. ▶ 그러나 도움을 줄 수 있는 교재와 함께 계획을 세우고 매일 출퇴근 시간이나 자투리 시간을 이용해 습관적으로 행할 수 있다면 결코 불가능한 것이 아닙니다. ▶ 본서는 빌 게이츠가 하버드 졸업식에서 행한 명연설 총 25분량의 전체 동영상 및 오디오를 소재로 하여 이를 학습자들이 이용하기 편리하도록 편집하였습니다. ▶ 전체 연설을 62 단락으로 나눈 각 파트에서는 원문과 해석문, 그리고 해당 부분의 자막 동영상 및 청취훈련을 위한 3회 반복 재생 오디오를 함께 실었습니다. ▶ 그러므로 학습자들이 스마트폰이나 태블릿 및 PC 화면상에서 편리하게 이용할 수 있도록 구성한 멀티풀한 영어 명연설 암기용 전자책입니다. □ 본서의 활용방법 ❶ 먼저 첫머리에 나오는 전체 동영상을 감상해 보시고 그런 다음에는 총 62 단락으로 나눠 구성된 각 파트들을 자신의 여건에 맞춰 매일 학습할 수 있는 분량을 정하시고 진도 계획을 세우시기 바랍니다. 각 파트의 자막용 비디오에는 연설자의 말을 놓치지 않고 원문과 충분히 비교할 수 있도록, 즉, 자막이 휙휙 지나가지 않도록 충분한 길이의 자막을 배분하였으므로 이를 통해 일차적으로 해당 파트의 원문 자막의 도움을 받아 연설자가 말하는 내용을 전체적으로 파악하시기 랍니다. ❷ 비디오 학습을 마치면 본문에 실린 원문을 우선 혼자서 해석해 보신 다음에 하단에 실린 해석문과 비교해 자신의 해석을 점검하시고 바로잡을 부분이 있으면 바로잡으시기 바랍니다. 이때 하단 박스의 [Tips]도 참고하시기 바랍니다. (단, [Tips]의 어휘 해석은 지면 관계상 해당 파트의 문맥에 가장 합당한 한두 가지 표제어일 뿐이므로 해당 어휘가 가진 다양한 의미를 파악하시려면 따로 사전을 보시기 바랍니다.) ❸ 마지막으로 영어 명연설 암기에서 가장 중요한 부분인 청취 훈련을 행하시기 바랍니다. 본문 중간에 실린 청취 오디오에는 한번 클릭하면 음원이 3회 반복 재생됩니다. 이를 하루 중 시간이 날 때마다 몇 번이고 클릭하셔서 반복 청취하시면 자연스레 암기가 될 것입니다. 이때는 오디오를 듣는데 그칠 것이 아니라 반드시 입을 움직여 따라하셔야 합니다. 주변 환경 탓에 소리를 낼 수 없는 상황이라면 입만이라도 움직여 웅얼거리며 따라하셔야 합니다. 청취 오디오를 클릭해 듣고 따라 말하며 암기하는 도중에는 오디오 상단의 영어 원문은 보셔도 되지만, 해석문은 보지 말아야 합니다. 영어 리스닝 학습 중에 우리말 해석이나 번역이 끼어들어서는 안 됩니다. 이를 유념하시기 바랍니다. 영문 해석 학습은 리스닝 학습이나 영어 연설문 암기와는 반드시 별도로 행하시기 바랍니다. (앞서 말한 순서대로 하시면 청취 훈련 도중에 굳이 해석문을 보실 필요는 거의 없으실 것입니다.) 또한, 리스닝이나 영어 연설문 암기 때는 비디오 시청보다는 오디오만을 청취하며 학습하시는 것이 더욱 효과적입니다. 영어 듣기와 말하기 학습에는 비디오 학습보다 오디오 학습이 더욱 효과적이라는 연구 결과가 여럿 있습니다. ❹ 각 파트별 학습이 일차적으로 끝나셨다면 다시 첫머리의 전체 동영상을 통해 연설문 전체를 따라하시며 확인 차원의 복습을 하시기 바랍니다. 그 후에는 전체 동영상을 틀어두시되 화면이나 자막은 가급적 보지 마시고 오디오만 취해서 전체를 매일 틈날 때마다 반복 학습하십시오. 그러다 보면 어느새 영어 명연설 전체를 암송하실 수 있게 되실 것입니다. 이상의 내용을 간략히 정리하자면, 1) 전체 동영상 시청 2) 학습 계획 세우기 3) 파트별로 진도 나가기 4) 전체 동영상 시청을 통해 확인 차원의 복습 5) 암송이 될 때까지 전체 동영상에서 되도록 오디오만 취하며 반복 훈련 아무쪼록 출퇴근 시간이나 등하교 시간 및 자투리 시간을 적극 활용하셔서 본 교재를 통해 영어 명연설을 암기해 나가시면 독자 여러분의 영어 능력이 일취월장하실 수 있을 것입니다. 감사합니다. 쿨라인미디어 편집부 드림.",BOOK,Education
0,books#volume,z_wbxQEACAAJ,https://www.googleapis.com/books/v1/volumes/z_wbxQEACAAJ,영어탈피,none,none,2017,none,BOOK,none
0,books#volume,vp7bCQAAQBAJ,https://www.googleapis.com/books/v1/volumes/vp7bCQAAQBAJ,들으면서 따라하는 [전화영어 100문장 통암기],쿨영 편집부,쿨라인미디어,2015-06-12,"■ 들으면서 따라하는 [전화영어 100문장 통암기]는 ▶전화영어회화의 주요표현 100문장을 엄선해 눈으로 보고 귀로 듣고 입으로 따라 하며 익힐 수 있도록 구성되어 있는 영어회화 통문장 통암기 훈련 교재입니다. ▶종래의 영한(英韓)순이 아니라 한영(韓英)순으로 문장을 배치 하였습니다. 그러므로 더욱 능동적, 효율적으로 영어회화의 주요 표현과 핵심 패턴을 익히실 수 있습니다. ▶본문 속에 오디오가 삽입되어 있는 전자책입니다. 본문 속의 오디오 버튼을 클릭하면 원어민 발음을 즉시 들으시며 따라 하실 수 있습니다. ▶본문 속의 원어민 오디오는 북미 원어민이 각 문장을 서로 속도를 달리해 반복 녹음했으며 이를 6회 재생되게 했습니다. 물론, 도중에 스톱하시고 다음 문장으로 넘어가실 수도 있습니다. ▶우리말로 발음표기를 덧붙였습니다. 북미원어민의 보통 빠르기 스피킹을 가장 유사하게 우리말로 표기했습니다. ▶본문에는 해당 영문 암기에 꼭 필요한 것들만 담았습니다. 페이지만 차지하는 불필요한 현란한 삽화나 반복 청취에 장애가 되는 시그널뮤직은 배제했습니다. ▶즉, 본서는 영어 강의서가 아니라 영어회화 훈련 학습교재 입니다. ※ 본서의 활용방법 해당 구문의 원어민 발음을 들으면서 반드시 입으로 따라 하셔야 합니다. 주변 환경 탓에 소리를 낼 수 없는 상황이라면 입만이라도 움직여 웅얼거리며 따라 하셔야 합니다. 영문을 통째로 암기하도록 애쓰여야 합니다. 해당 표현을 오디오로 듣고 입으로 따라 말하면서 문장을 마치 하나의 긴 낱말인 것처럼 통째로 외우셔야 합니다. 그러기 위해서는 우리말에 해당하는 영문이 자동으로 입에서 튀어나올 수 있을 정도로 반복 청취 및 반복 발음하며 훈련을 하셔야 합니다. 우리말 표기 영문발음도 참고하시기 바랍니다. 단어가 문장 속에 포함되어 발음될 때는 단독으로 발음될 경우나 천천히 발음되는 경우와는 사뭇 다르다는 점에 유의하셔야 합니다. 출퇴근 시간이나 등하교 시간 및 자투리 시간을 적극 이용하여 반복적으로 학습하시기 바랍니다.",BOOK,Education
0,books#volume,naGZjgEACAAJ,https://www.googleapis.com/books/v1/volumes/naGZjgEACAAJ,영어탈피 실력편 구동사편 세트(전4권),우공이산외국어연구소,none,2015-10-01,none,BOOK,none
0,books#volume,k7u8zgEACAAJ,https://www.googleapis.com/books/v1/volumes/k7u8zgEACAAJ,외국어 공부가 쉬워진다,남기춘,none,2021-11-10,none,BOOK,none
0,books#volume,O9ziMgEACAAJ,https://www.googleapis.com/books/v1/volumes/O9ziMgEACAAJ,영어탈피(하),우공이산외국어연구소,none,2011-03-01,none,BOOK,none
