cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,isb5zgEACAAJ,https://www.googleapis.com/books/v1/volumes/isb5zgEACAAJ,15분이면 뚝딱! 와인 안주 요리,최주리,none,2022-04,none,BOOK,none
0,books#volume,mB-SQAAACAAJ,https://www.googleapis.com/books/v1/volumes/mB-SQAAACAAJ,궁합이 맞는 와인과 우리음식(요리 전문가 양향자가 추천하는),양향자,none,2009-06-10,none,BOOK,none
0,books#volume,xj7knQEACAAJ,https://www.googleapis.com/books/v1/volumes/xj7knQEACAAJ,와인에 요리 한접시(집에서 즐기는),히라노유키코,none,2013-10-28,none,BOOK,none
0,books#volume,4jqUBgAAQBAJ,https://www.googleapis.com/books/v1/volumes/4jqUBgAAQBAJ,지중해 태양의 요리사,박찬일,창비,2009-09-15,"게으른 편집장에서 좌충우돌 셰프로 변신하다! 사람의 마음을 요리하는 박찬일의 유쾌 통쾌한 이야기 이딸리아 음식 요리사이자 와인 전문가로 유명 식당을 거쳐 현재 이딸리아 레스또랑 ‘누이누이’의 주방장으로 일하고 있는 박찬일(44)의 산문집 『지중해 태양의 요리사: 박찬일의 이딸리아 맛보기』가 출간되었다. 한겨레 ESC에 일년 반 연재한 산문 31편을 한데 묶은 것이다. 저자는 대학에서 소설을 전공하고 월간지 편집장으로 활약하던 30대 초반, 돌연 요리에 흥미를 느껴 이딸리아 유학을 결심한다. 1999년부터 3년간 이딸리아 삐에몬떼 등에서 요리와 와인을 공부하고, 씨칠리아에서 1년간 요리사로 일하다 귀국했다. 보르도와인 테이스팅위원으로도 활동했고 각종 매체에 칼럼을 쓰면서 이미 『와인스캔들』 『박찬일의 와인 셀렉션』 『최승주와 박찬일의 이탈리아 요리』 등 4권의 단행본을 출간한 바 있다. 이 책은 저자의 유학 체험을 바탕으로 우리가 몰랐거나 잘못 이해하고 있는 이딸리아의 음식뿐만 아니라 문화와 전통에 대해 맛깔스럽고 친절하게 들려준다. 깊은 사유와 통찰력을 경쾌하고 통쾌한 어법으로 풀어내는 저자의 글들은 우리의 편견과 상식을 뒤엎을 뿐만 아니라 진한 사람냄새를 풍기며 감동과 즐거움을 선사한다. 무엇보다 그의 글은 재미있다. 글 전반에 녹아든 저자의 기지와 해학은 절묘해서 독자를 강하게 끌어들인다. 매 꼭지마다 배꼽을 잡고 웃게 만들 만큼 그의 유머감각은 독보적이어서 근래 보기 드문 산문집의 재미를 선사한다. 고된 유학생활과 식당실습, 그리고 이국에서 느끼는 외로움과 향수와 싸우면서 그가 겪은 체험과 에피쏘드들은 우리를 새로운 세계로 이끌어간다. 소설을 전공한 이력 때문인지 경쾌하고도 힘있는 개성적인 문장은 산문 읽는 참맛을 느끼게 한다. 소설가 김중혁의 말대로 그의 글은 “때론 배꼽이 빠지고, 때론 가슴이 뭉클하다.” 이렇듯 그의 글이 맛있는 이유는 “오랫동안 재료를 준비한 다음 짧은 시간 센 불로 조리”하는 요리사의 요리와 닮았기 때문이다.(김중혁 추천사) 이 산문집의 주재료는 그가 요리학교를 졸업하고 이딸리아 중에서도 시골인 씨칠리아의 작은 마을 모디까의 식당 ‘파또리아 델레 또리’에서 겪은 좌충우돌, 요절복통 일상사이다. 물론 요리 이야기가 주로 등장한다. 하지만 저자의 장점이 발휘되는 것은 그의 이야기가 요리에 그치지 않고 요리를 매개로 펼쳐지는 상상력이 인간과 자연, 문화와 관습과 전통에까지 닿아 있기 때문이다. 이를 통해 우리가 그간 알고 있었던 이딸리아 요리와 문화에 대한 상식을 깨뜨려준다. 이딸리아에서 스테이크를 자주 먹지 않는다는 것, 식당에 피클이 없다는 것, 마늘과 고추를 즐겨 먹지 않는다는 것, 빠스따에 대해 잘못 알고 있는 것 등등 흥미진진한 이야기들이 매 편마다 등장한다. 또 이딸리아에도 우리의 만두·팥죽·소꼬리탕·소골·내장탕·돼지순대·닭간·모래집·젓갈 등과 비슷한 요리들이 있다는 것도 재미나게 일러준다(「이딸리아와 한국의 음식은 닮았을까」). 그밖에도 이딸리아인들 특유의 제스처와 축구에 대한 열정, 우리와 닮은 다혈질에 다정다감한 민족성에 대해서도 해학적으로 들려준다. 이 책에서 가장 중요한 것은 저자의 요리에 대한 철학이다. 이것은 그의 요리와 삶의 스승인 주제뻬 바로네(Giuseppe Barone, 슬로우푸드 씨칠리아 창립자)의 생각과 맥을 같이한다. 육식이 인간의 숙명이라면, 천천히, 그 죽음이 헛되지 않도록 세상의 쓸모를 기꺼이 마련해주는 게 바로 요리사의 몫이다. 쥬제뻬는 그 역할을 흔쾌히 맡았다. 요리사란 요리를 만드는 사람이 아니라, 한 그릇의 요리가 식탁에 오르기까지 통제하고 감시하는 관찰자여야 한다고 그는 믿었다. 나는 그의 생각에 동의했다. 그렇게 하지 않으면 우리에게 미래가 없다고 생각했기 때문이었다. 우리 식탁에 오른 기름진 스테이크 한 덩어리는 어쩌면 우리 미래 세대에게서 빌려온 것이 아닐까.(138면) “진짜 요리사가 되려면 시장과 들판을 알아야 해. 오징어와 참치가 언제 올라오는지, 토마토가 가장 잘 익는 때가 언제인지 알아야 하지. 식당에 앉아 전화통 붙잡고 손가락만 써서는 절대 좋은 재료를 구할 수 없다구. 좋은 재료는 요리의 전부야.”(202면) 여기서 핵심은 요리사란 단순히 음식을 조리하는 자가 아니라 이 세계를 올바르게 유지하고 미래로 나아가게 하는 데 중추적인 역할을 한다는 사실이다. 그것을 실천하는 게 그닥 어렵지 않은데 이 세계는 속도전과 산업화에 길들여져 가장 기초적이고 중요한 사실을 무시하거나 간과하고 있다는 저자의 지적은 우리 모두를 뼈아프게 한다. 그는 그야말로 매순간 식탁을 감시하고 관찰하는, 시장과 들판을 아는, ‘진짜’ 요리사를 꿈꾼다. 이러한 저자의 관점은 자연스럽게 ‘슬로우푸드’ ‘로컬푸드’ ‘유기농’ 등에 대한 철학으로 이어진다. “유기농의 의미도 이미 퇴색했어. 도시 사람들이 저 한몸 건강하게 살자고 농약이며 항생제 따져서 구입하는 것은 진정한 의미의 유기농이 아니지. 그 사람들은 유기농조차도 벌레 먹었다고 항의를 하는 멍청이들이니까.” 하긴, 미국 캘리포니아의 거대 유기농 기업들은 최저임금에 멕시칸들을 고용하여 땡볕 아래서 쌜러드용 채소의 벌레를 손으로 잡도록 시킨다. 그 채소는 다시 경유를 펑펑 쓰며 수천 마일을 달려서 미국 동부로 간다. 과연 이것이 진정한 유기농일까. 인간과 자연의 조화라는 건강한 개념의 진짜 유기농이 될 수 있을까. 우리는 지구를 태우는 기름을 마시는 것일까, 쌜러드를 먹는 것일까. 그는 유기농이니, 뭐니 거창한 개념보다 오랫동안 씨칠리아 땅에서 재배하고 기르던 방식을 고수하려고 했다.(…) 그는 또한 기업적으로 만들거나 하우스 재배한 유기농도 배척했다. 땅주인인 농부의 손길이 닿지 않으면 작물이나 가축은 공장 생산품이라고 생각했으며, 하우스 재배에 들어가는 기름을 저주했다.(122~23면) 무엇보다 그가 내게 유전자처럼 심어준 건 요리하는 영혼이었다. 그는 ‘가장 가까운 곳에서 나는 나의 재료로, 가장 전통적인 조리법으로, 가장 사랑하는 사람이 먹는 요리를 만들라’는 요리의 3박자를 깨우쳐주었다. 모양이나 장식으로 멋을 내는 줄만 알았던 서양요리, 이딸리아 요리의 진정한 승리는 이 3박자에 있었다는 걸 그는 알려주었다. 그는 좋은 재료를 직접 구하지 않고 그저 전화통을 붙들고 배달받는 미슐랭 스타 요리사를 경멸했으며, 멀리서 수입한 재료를 자랑하는 요리사에게 호통을 쳤다. 공장화, 기계화되는 재료의 역사를 슬퍼했으며, 돼지나 닭이 항생제와 호르몬의 늪에서 신음하는 걸 참지 못했다. 아이들이 먹는 음식이 사료가 되고 있는 현실을 분노했으며, 항상 지역 어린이들이 무엇을 먹고 마셔야 하는지 가르치고 연구하느라 머리를 싸맸다. 그건 영양학자나 교육자가 할 수 없는 일이라고 그는 말했다. 요리사는 아이들의 어머니처럼 먹이는 사람이라고 그는 강조했다.(284면) ‘가장 가까운 곳에서 나는 나의 재료로, 가장 전통적인 조리법으로, 가장 사랑하는 사람이 먹는 요리를 만들라’라는 말에는 모든 요리와 삶의 철학이 담겨 있다. 이 말에는 사람을 움직이고 마음을 요리하는 진정한 요리사의 길이 담겨 있다. 이렇게 쉬운 듯하나 지켜지지 않는 현실에 대한 저자의 개탄은 산업화와 대량생산에 익숙해지고 오염된 먹을거리에 길들여져 있는 동시대인 모두에게 호소력 있게 다가간다. 저자의 비판적인 태도는 획일적으로 식당을 평가하고 거기에 열광하는 세태에 대해서도 쓴소리를 마다하지 않는다. 미식잡지들의 폭력적인 식당평가에 대해 꼬집고 야유를 보내는 대목은 역시 저자의 기지가 잘 발휘되는 대목이다. 싱거우면 ‘건강요리’고 짜면 ‘토속요리’다. 고기가 질기면 ‘싱싱’한 거고, 오래된 고기는 ‘잘 숙성된’거다. 장식이 별로 없고 양념이 약하면 ‘재료 본래의 맛을 강조’한 거고, 그 반대면 ‘재료 본래의 성격을 확 바꿔버리는 창의성’이 있는 거다. 맛이 없으면 ‘써비스가 좋아서 음식맛 따윈 잊게 만든다’고 하고, 써비스가 개판이면 ‘그래도 음식맛은 좋다’고 한다. 비싼 수입 식자재를 가져다쓰면 ‘어렵게 수배하여 공수한 재료’가 있는 거고, 대충 동네에서 나는 재료만 가지고 만들면 ‘재료의 현지화와 로컬 푸드 실현’이다. 10년이 지나도 메뉴판을 바꾸지 않는 게으른 요리사도 ‘십년 세월을 한결같이 지키는 고집스러운 장인정신’이 되는 게 다 쓰기 나름이고 풀기 나름인 이 바닥의 식당비평이다.(211면) Tip 1: 요리사가 글을 쓰고 소설가는 그리다 이 책에서 주목할 만한 점이 또 하나 있다. 바로 요리사는 글을 쓰고 소설가는 일러스트를 그린 점이다. 표지와 본문 각 장마다 눈에 띄는 색감의 유머러스한 삽화들은 일러스트레이터로도 활동하고 있는 소설가 김중혁의 작품이다. 잡지사 기자생활 때부터 저자와 오랜 인연을 이어오고 있는 김중혁 작가가 애정을 가지고 심혈을 기울인 그림들은 저자에 대한 깊은 이해와 소설가의 감수성이 만나는 흥미로운 지점이다. Tip 2: 누구나 따라할 수 있는 이딸리아 요리 베스트 10! 셰프 박찬일이 추천하고 시연하는 초간단 이딸리아 정통 요리법 초판 한정 부록 DVD 역시 독자들에게 값진 선물이 될 것이다. 저자 박찬일이 일반인들이 요리할 수 있는 이딸리아 요리 열 가지(스빠게띠, 리조또, 페뚜치네, 링귀네, 딸리아뗄레, 뇨끼 등)를 골라 직접 시연하는 장면을 동영상으로 제작하고 별도의 레씨피를 삽지에 넣었다. 저자는 재료 고르는 법부터 누구나 어렵지 않게 따라할 수 있는 조리법과 팁을 친절하게 알려줌으로써 누구나 이딸리아 요리의 진수를 직접 체험토록 했다. 또한 열 가지 요리에 어울리는 와인을 추천함으로써 가족과 친구, 연인들에게 특별한 식탁을 차릴 수 있게 도와준다. 촬영 조명 연출 편집 등 연인원 20여명이 동원되어 한달여의 시간을 거쳐 완성한 이 DVD는 단순한 부록이 아니라 그 자체로 뛰어난 완성도를 자랑하는 하나의 작품이다. 박찬일은 그의 독특한 이력 못지않은 글 솜씨로 독자를 사로잡는다. 그의 글은 웃을 수밖에 없는, 웃지 못할 해프닝들로 넘쳐난다. 그는요리(업계)에 대해 잘 모르던 사람들에겐 새로운 재미를 주고, 요리(업계) 관계자들에겐 가려운 부분을 긁어주는 메씬저이다. 이 책에 대해 구구절절 설명을 듣는 것보다 책장을 펼쳐보면 바로 확인할 수 있다. 이 책을 세 문장으로 요약하면 이렇다. 너무 재미있다, 정말 웃기다, 아주 감동적이다. Changbi Publishers",BOOK,none
0,books#volume,P1Q-BAAAQBAJ,https://www.googleapis.com/books/v1/volumes/P1Q-BAAAQBAJ,"관능의 맛, 파리",민혜련,BOOK21 PUBLISHING GROUP,2014-08-08,"혀끝의 축복, 프랑스 요리의 모든 것! 문화와 역사와 인생이 담긴 파리 미식 기행 “정치, 문화, 교육… 모든 걸 다 따져도 프랑스 요리는 가장 위에 있다.” 프랑스 셰프 레이몽 블랑(Raymond Blanc)은 자국 요리에 대한 완벽성과 자부심을 이렇게 표현했다. 프랑스 요리는 수세기 동안 발전된 역사적 총체이자, 그 자체로 하나의 예술품이다. 《관능의 맛, 파리》는 문화와 역사가 살아 있는 프랑스 미식의 모든 것을 담은 책이다. 저자는 10년간 프랑스에서 유학하고, 이 후 16년간 정통 프랑스 레스토랑을 경영한 자타공인 프랑스 문화 전문가다. 그녀는 그동안 연구하고 체화한 프랑스 미식에 관한 특별한 이야기들을 파리 전역을 배경으로 이 책에 펼쳐놓았다. 독자들은 이 책을 통해 프랑스 미식의 예술성과 진정성에 감탄하며 그동안 알지 못한 프랑스의 색다른 모습을 느낄 수 있을 것이다. ◎ 책의 특징 ‘입’의 욕망에 충실한 프랑스인들을 말하다 한 나라의 식문화를 보면 그 사회뿐 아니라 그 사회를 구성하는 사람들과 그들의 삶 전체가 들여다보인다. 인간의 욕망과 쾌락을 차곡차곡 반영하면서 발전시킨 프랑스 요리는 이러한 이유에서 가히 관능의 맛이라 할 만하다. 프랑스 요리를 세계 문화유산으로 등재시킨 위대한 셰프들, 사디즘으로 분석한 푸아그라와 에스카르고 요리, 프랑스 할머니의 전통요리 등…… 이 책은 프랑스 미식에 관해 우리가 잘 알지 못했던 다채롭고 색다른 세계를 보여준다. 그 세계의 문을 열면 프랑스의 문화와 사상이 쏟아져 나오는 것이다. 맛있는 요리에 집착하고 대화와 수다를 좋아하는 프랑스인들은 그야말로 ‘입’의 욕망에 충실하다. 말하고 먹고 즐기는 것을 삶의 중요한 가치로 여기는 이들의 문화는 왕정 시대부터 발달한 화려한 식문화와 화술의 전통이 담겼다. 디저트 한 접시에도 흥미로운 이야기가 숨겨진 프랑스 미식의 심오함이 저자의 친절한 설명과 위트 있는 해석을 통해 더욱 친근하게 다가온다. 또한 책에 등장하는 요리들은 저자의 치밀한 관찰과 감칠맛 나는 표현으로 그 맛이 더욱 생생하게 되살아나 우리의 혀끝을 자극한다. 눈이 즐거운 세계 최고 미식의 향연을 만나다 이 책은 단순히 프랑스 요리나 그 요리법을 소개하는 데 그치지 않는다. 우리가 일반적으로 알고 있는 프랑스의 대표 음식인 푸아그라나 에스카르고, 바게트, 각종 디저트 등은 저자의 독특한 해석으로 새롭게 태어난다. ‘1부 사디즘의 맛’에서는 최고의 요리를 위해 거위와 달팽이 등을 가학하는 프랑스의 문화와 이를 통한 탐욕과 미식의 상관관계를 풀어냈으며 ‘2부 사람의 맛’에서는 프랑스 정통 요리가 탄생된 배경과 그와 관련된 프랑스인들의 내밀한 이야기들이 펼쳐졌다. ‘3부 문화의 맛’에서는 프랑스 요리를 세계 최고로 발전시킨 위대한 셰프들의 역사가, ‘4부 자연의 맛’에서는 생산지 특성이 하나의 브랜드가 되는 와인과 소금, 송로가 소개된다. 특히 황홀한 맛을 자아내는 와인과 요리의 궁합 또한 주목할 만하다. 프랑스 요리의 섬세함과 세련됨은 곧 프랑스의 문화와 사상을 닮았다. 20년 가까이 프랑스 식문화를 연구하고 관련 분야에서 활발하게 활동해온 저자는, 요리라는 주제로 프랑스의 솔직하고 깊이 있는 면모를 담아냈다. 이 책을 읽는 독자들은 세계 최고의 프랑스 미식을 눈으로 맛보면서 색다르고 흥미진진한 프랑스를 경험할 수 있을 것이다. ◎ 본문 중에서 ■ 누가 프랑스를 패션의 나라라 했던가? 패션이나 럭셔리한 것들은 모두 뉴욕이나 도쿄, 서울에 와 있고 요즘은 베이징이나 상하이가 돈줄이다. 정작 파리에는 패션이 없다. 브랜드 마케팅이 있을 뿐이다. 그럼 파리에는 프랑스 혁명의 정신에 불타던 자유, 평등, 박애가 있을까? 대답은 역시 ‘NO’! 요즘 그 정신은 아랍 세계로 출장 가 있다. 프랑스인들을 삼색기 아래 함께 묶는 것은 그 어떤 것도 아닌 바로 ‘미식에의 욕구’다. (15p ‘구순기의 프랑스인들’ 중에서) ■ 양파수프에는 꼭 그뤼예르 치즈를 올려야 하는데, 한국에 흔한 밋밋한 모짜렐라를 올리면 절대로 그 맛이 나질 않는다. 두툼한 옹기에 누룽지처럼 노릇노릇하게 녹은 그뤼예르 치즈가 넘칠 듯이 덮여 있고 한 스푼 떠올리면 찍찍 늘어나며 입안까지 따라 들어오는 녀석을 그대로 돌려 입안으로 감아 넣는다. 곧이어 입 천장에 휘감기는 녹은 치즈, 노골노골하고 만족스런 맛의 이 치즈를 음미한 후에 아래쪽에 스푼을 넣어 푹 떠 올리면 양파의 진한 갈색 국물에는 빵덩이가 걸쭉하게 푹 적셔져 있다. 치즈와 함께 한 술을 떠서 입에 넣으면 양파가 버터와 함께 내는 고소한 향이 코끝을 유혹한다. 이어서 식욕이 왈칵 올라오며 수프를 확 덮치게 되는 거다. (76-77p ‘가난한 이들의 풍요로운 식탁’ 중에서) 20세기가 되면서 유명한 파티셰이던 라뒤레는 로렌식의 마카롱 두 개를 붙여 가운데에 초콜릿, 커스터드 등 다양한 재료를 사용한 크림을 넣어 샌드를 만들고 과일이나 허브 등의 천연색소로 쿠키에 색을 입혀 현재 우리가 열광하는 마카롱의 모습을 만들었다. 마카롱은 겉의 쿠키는 바삭하니 씹히면서 속은 쫄깃한 촉감을 주어야 하는 것이 무척 어려운 기술이라고 한다. 공기 밀도에 따라 씹히는 느낌이 다르기 때문이다. 그러다 보니 파리 시내에 마카롱으로 유명한 ‘피에르 에르메’나 ‘라뒤레’ 같은 곳은 언제나 북적북적하다. (123p ‘잃어버린 시간을 찾아서’ 중에서) 파리는 전 세계 요리의 거대한 쇼핑센터다. 레스토랑도 등급과 요리의 종류, 가격 등이 수없이 다양하게 전문화되어 있어 미식가들의 끝없는 욕구를 맞추어준다. 마치 베르사이유 궁전의 살롱 같은 초일류 레스토랑에서부터 마루 바닥이 삐걱거리는 오래된 가게, 천정에는 빨간 조화가 가득 달려 있는 서민적인 비스트로나 브라스리에 이르기까지 다양하기가 그지없다. 이 안에서 전 세계에서 온 사람들이 요리를 쇼핑한다. (202p ‘레스토랑에선 누구나 귀족이 된다’ 중에서) 어느 날 미디움 레어로 잘 구워진 좋은 스테이크 한 점에 1998년산 비욘디 산티 브뤼넬로 디 몬탈치노 리세르바 한 모금을 입에 넣었을 때였다. 소스에 담가 먹는 걸 별로 안 좋아해 접시 한편에 흩뿌린 굵은 암염과 함께한 부드러운 안심이었다. 순간 앞에 있던 친구랑 눈이 마주쳤는데 이건 뭐 말이 필요 없었다. 이심전심, ‘퍼펙트!’ 딱 이 표정이었다. 이처럼 말랑한 남의 살의 느낌이 입안의 세포 하나하나를 감싸는 황홀한 느낌은 처음이었다. 맛의 오르가즘, 꼭 전설적인 만남이 아니더라도 우리가 일상에서 쉽게 만날 수 있는 먹거리들의 만남이 남녀의 관능적인 화학작용과 얼마나 비슷한가를 진정 가슴으로 느끼는 경우가 종종 있다. (232-233p ‘프랑스 미식의 정점, 와인’ 중에서)",BOOK,Travel
0,books#volume,AdfAEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/AdfAEAAAQBAJ,와인의 첫걸음,와인연구회,Kyobobook MCP,2023-01-12,"‘영혼이 맑아지는 술’, 심지어 ‘생명의 물’ 이라고도 불리는 와인. 와인은 이제 단순한 술의 개념을 넘어 건강과 정신적 풍요의 상징이 되고 있다. 이전까지 마신 와인이 그저 술에만 불과했다면 이제 이 책을 통해 당신은 와인에 담긴 풍성한 이야기가 자아내는 향기를 제대로 느끼게 될 것이다. 이 책은 와인의 역사와 제조 방법, 와인을 마실 때 갖춰야 할 격식 및 절차, 각종 음식에 알맞은 와인의 종류, 나라별 와인의 종류, 와인을 즐겨 찾는 사람들의 이야기, 특별한 날 어울리는 와인의 종류 등 다양한 이야깃거리를 실음으로써 와인을 누구보다 멋스럽게 즐기는 비법을 전수한다. 이야기를 전하는 방식이 쉽고 편안해서 와인을 처음 접하는 초보자들에게도 유용한 정보가 될 것이다.",BOOK,none
0,books#volume,h5UBEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/h5UBEAAAQBAJ,파는 사람들,파는 사람들,"Bookstone, Inc. ",2020-09-25,"동네 맛집부터 온라인 쇼핑몰까지, 무슨 일을 하든 본질은 잘 파는 것이다! 음식 맛은 자신 있지만 홍보가 고민이라는 숨은 맛집, 1초 안에 고객의 눈길을 사로잡아야 하는 온라인 쇼핑몰, 배달과 매장을 모두 책임져야 하는 식당, 대형 브랜드와 다퉈야 하는 개인 자영업자들, 상황은 다르지만 결국 고민은 하나다. 어떠한 상황에서든 잘 팔아야 한다는 것! 가성비 좋은 음식도, 기능이 뛰어난 제품도, 촘촘하고 신선한 기획도 팔리지 않으면 잊히는 법, 어떻게 해야 ‘나만의 고객’을 확보해 살아남을 수 있을까? 위기와 혼돈의 코로나 시대, ‘파는 사람들’이라는 이름으로 모인 12명의 외식업자들이 각자의 방식으로 ‘파는 힘’에 대해 이야기한다. 화려한 마케팅이나 일회성 처방이 아닌 꾸준히 쌓아온 현장형 지혜를 바탕으로, 언제 어디서든 팔리는 구조를 만들 수 있는 실용적인 노하우를 담았다.",BOOK,Business & Economics
0,books#volume,Ix-lzwEACAAJ,https://www.googleapis.com/books/v1/volumes/Ix-lzwEACAAJ,15분이면 뚝딱! 와인 안주 요리,none,none,2022,none,BOOK,none
0,books#volume,_hfIEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/_hfIEAAAQBAJ,개인 셰프 직업이 하는 일,씨익북스 편집부,Kyobobook MCP,2023-06-10,"『개인 셰프 직업이 하는 일』은 요리에 대한 열정과 끊임없는 도전으로 인해 개인 셰프로 일하는 사람들의 일상을 소개하는 책입니다. 이 책은 개인 셰프가 어떤 일을 하는지, 그들이 어떤 식으로 요리를 준비하고 서비스를 제공하는지에 대한 세부적인 내용을 다룹니다. 또한, 이 책은 개인 셰프가 어떻게 고객과의 관계를 유지하며, 요리를 통해 고객의 취향과 요구를 충족시키는지에 대한 이야기도 담고 있습니다. 이 책은 요리에 대한 열정과 진정한 전문성을 가진 개인 셰프들의 일상을 통해 요리의 매력과 그들의 일에 대한 열정을 전달합니다.",BOOK,none
0,books#volume,CBjIEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/CBjIEAAAQBAJ,요리학교 강사 직업이 하는 일,씨익북스 편집부,Kyobobook MCP,2023-06-10,"이 책은 요리학교 강사의 일상과 업무를 소개하는 책입니다. 요리학교 강사는 학생들에게 요리 기술을 가르치는 일을 합니다. 이 책에서는 강사가 수업을 준비하는 과정부터 학생들과의 상호작용, 그리고 강사로서의 역할과 책임까지 다양한 내용을 다룹니다. 또한, 요리학교 강사가 가지고 있어야 할 능력과 자질, 그리고 강사로서의 경력을 쌓는 방법 등에 대해서도 다루고 있습니다. 이 책은 요리를 좋아하는 사람들뿐만 아니라, 요리학교 강사로 꿈꾸는 사람들에게도 유익한 정보를 제공할 것입니다.",BOOK,none
