cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,fkBCzwEACAAJ,https://www.googleapis.com/books/v1/volumes/fkBCzwEACAAJ,자기계발 수업,안나카타리나샤프너,none,2022-07-08,none,BOOK,none
0,books#volume,D57OuQEACAAJ,https://www.googleapis.com/books/v1/volumes/D57OuQEACAAJ,대한 민국 자기 계발 연대기,이원석,none,2018,none,BOOK,Self-actualization (Psychology)
0,books#volume,ajrXQgAACAAJ,https://www.googleapis.com/books/v1/volumes/ajrXQgAACAAJ,자유 의 의지 자기 계발 의 의지,서동진,none,2009,none,BOOK,Intellectual capital
0,books#volume,rOhFzgEACAAJ,https://www.googleapis.com/books/v1/volumes/rOhFzgEACAAJ,자기계발과 인성(2판),박일순,none,2021-03-10,none,BOOK,none
0,books#volume,Z7ltwAEACAAJ,https://www.googleapis.com/books/v1/volumes/Z7ltwAEACAAJ,자기계발을 위한 몸부림,none,none,2018,none,BOOK,none
0,books#volume,hHWaDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/hHWaDwAAQBAJ,자기계발은 바로시작하기,빅토리아,크라운 레이스,2019-05-28,"수많은 사람들이 자기계발을 시도하지만 많은사람들이 실패한다. 왜 똑같이 시작함에도 불구하고 어떤사람은 이루지만,어떤사람은 이루지 못할까? 자기계발에 있어서 우리는 근본적인 원인을 조금더 알고 판단한뒤에 그 뒤에 부터 제대로된 계획을 세우고 실천해야한다.",BOOK,Business & Economics
0,books#volume,vgL5vgEACAAJ,https://www.googleapis.com/books/v1/volumes/vgL5vgEACAAJ,자기개발과 인생설계,김미옥,none,2018-11-30,none,BOOK,none
0,books#volume,xYrz4TX-qAYC,https://www.googleapis.com/books/v1/volumes/xYrz4TX-qAYC,골드미스 자기계발 다이어리,미래컨텐츠창작연구소,BOOK21 PUBLISHING GROUP,2012-11-16,"아름답고 당당한 그녀, 골드미스! 그녀들을 위한 실속 생활 가이드! ★ 아름답고 당당한 그녀, 골드미스. 완벽한 당신에게 전하는 골드미스 자기계발 다이어리. ★ 대한민국 골드미스가 사는 방법 코칭, 골드미스의 가려운 곳을 박박 긁어주는 해결사! ★ 골드미스의 아찔한 취미와 자기계발 노하우, 골드미스 자기계발 다이어리! 아름답고 당당한 그녀, 골드미스! 골드미스의 생활에 가까이 다가간 카드북 시리즈. 골드미스의 무한도전, 골드미스 자기계발 다이어리!",BOOK,Self-Help
0,books#volume,B4lJDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/B4lJDwAAQBAJ,자기계발과 PR의 선구자들 그들은 대중을 어떻게 유혹했는가?,강준만,인물과사상사,2017-12-05,none,BOOK,Social Science
0,books#volume,LtFdDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/LtFdDwAAQBAJ,자기계발을 위한 몸부림,칼 세데르스트룀,Maekyung Publishing ,2018-04-16,"영국과 스웨덴의 두 젊은 교수가 최근 급성장하는 자기계발 세계에 직접 뛰어들어 1년간 엄청난 경험을 했다. 때로 아주 위험한 기법과 기술까지 마다하지 않는 자세로 실험쥐가 된 우리의 주인공들은 매달 정한 자기계발 목표를 이루기 위해 온몸을 불사른다. 전기 충격을 주는 앱을 사용하고, 명상에 최적화된 머리띠를 쓰고, 다양한 테크닉을 활용해 기억력을 높이려고 애쓴다. 역도 대회 출전을 목표로 훈련하고, 뇌기능 활성화 약의 도움을 받아 범죄소설을 쓴다. 동기 부여 세미나와 탄트라 섹스 워크숍, 뉴에이지 명상 수련회와 ‘사나이 캠프’에도 참여한다. 고액 연봉을 위해 새로운 일자리를 찾아 나서고, 부자가 되기 위해 트레이더로 살아본다. 두 교수는 1년에 걸친 혹독한 실험에서 살아남아 유쾌하고 놀라운 책을 만들어냈다. 두 사람이 각자 일기 쓰는 형식의 《자기계발을 위한 몸부림》은, 사회적 해결책이 힘을 잃고 개인의 자기계발만이 유일한 선택지가 된 우리 사회의 나르시시즘을 신랄하게 분석한다.",BOOK,Self-Help
