cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,reNazgEACAAJ,https://www.googleapis.com/books/v1/volumes/reNazgEACAAJ,종교개혁 시대의 영성,알리스터맥그래스,none,2021-03-20,none,BOOK,none
0,books#volume,mRsCzgEACAAJ,https://www.googleapis.com/books/v1/volumes/mRsCzgEACAAJ,기독교 영성의 추구와 분석심리학(양장본 HardCover),김성민,none,2020-10-05,none,BOOK,none
0,books#volume,tpVpEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/tpVpEAAAQBAJ,"영성, 카운슬링으로 꽃 피우기",김종환,e퍼플,2022-03-25,"‘카운슬링 쉬프트’라는 도발적인 시리즈를 내는 이유가 궁금할 것이다. 프롤로그에 밝히는 네 가지 이유 때문이다. 도발이란 남을 집적거려 변화를 일어나게 함이다. 바른 변화에 도움이 되기를 두 손 모은다. 쉬프트는 패러다임 쉬프트(paradigm shift)를 여러 분야에 적용하며 사용되고 있다. ‘인식 체계의 대전환’이라는 뜻으로 패러다임 쉬프트이 처음으로 사용되면서, 대표적인 사례로 천동설의 변화 지동설을 들었다. 최근 카운슬링의 변화는 카운슬링 쉬프트(counseling shift)라고 할 수 밖에 없을 정도로 대전환이 이미 일어났다. 그런데 아직도 ‘천동설 카운슬링’을 더 많이 말한다. 누군가 ‘지동설 카운슬링’을 강조해야 하는데, 누구도 나서지 않는듯하다. 그래서 이 시리즈를 집필하게 되었다. 이 책은 영성심리학(transpersonalism)을 주류 학파로 소개하면 서, 우리가 정신(Id, Ego, Superego) 분석의 질곡에서 벗어나, 영과 혼과 육의 전인적 영성을 카운슬링으로 ‘꽃 피우기(flourish)’를 소원한다. 질곡(桎梏)이란, 옛 형구인 차꼬와 수갑을 아울러 이르는 말이다. 언제까지 무의식 분석만 하고 있을 것인가? 유아기에 받은 상처가 성인기의 성격 형성에 다소 영향을 미친다고 해도 그것은 감지하기 힘들 정도로 아주 작을 뿐이다. 요컨대 성인기에 겪는 장애와 불행은 유년기의 트라우마 때문이 아니다. 이제 내사(introspection)에서 외사(outrospection)로 카운슬링은 변화되었다, 오히려 강점을 찾아 몰입(flow)하면 우리는 모두 플로리시(flourish) 할 수 있다. 바로 '영성, 카운슬링으로 꽃 피우기'이다.",BOOK,Literary Collections
0,books#volume,b1JEEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/b1JEEAAAQBAJ,종교와 담론,장형철,늘봄,2021-08-31,"장형철 교수의 『종교와 담론』은 비판적 담론 분석이론에 기초해 이 시대 한국사회의 종교적(개신교) 보수주의 담론의 기저 구조와 전망체계, 그리고 그 작동 기제를 분석한다. 이 연구를 통해 저자는 ‘비판적’ 종교·지식 사회학자로서의 색깔을 분명히 드러내고 있다. 이 값진 연구가 성찰적 시민사회의 태동을 고대하는 학인들과 뜻있는 이들에게 새로운 통찰을 제공할 수 있기를 기대한다. - 송재룡(경희대 사회학과 교수, 동아시아종교사회학회 회장) 이 책은 특별히 보수 개신교 교회의 주요 담론을 체계적이고 다양하게 분석한 결과물이다. 저자가 분석하는 담론들은 현재 한국 교회에서 보수 교회와 교인들에게 깊은 영향을 끼치고 있다. 이 담론들이 누구에 의해 어떤 과정을 거쳐 구성되고, 전파되고, 소비되는지 살펴보는 것은 매우 필요한 일이다. 그동안 이러한 연구에 미진했다는 점을 상기해볼 때 『종교와 담론』은 한국 사회학계와 종교사회학계 그리고 한국 교회에게 귀중한 자료가 될 것이다. - 이철(숭실대 기독교학과 종교사회학 교수) 『종교와 담론』은 한국사회에서 보수 개신교회의 담론적 특징을 전반적으로 이해할 수 있는 깊이 있고 체계적인 분석의 틀을 제공할 뿐만 아니라, 한국 현대사에서 ‘종교와 정치’가 이념적 논쟁 속에 어떻게 사회적 갈등을 증폭시키며 전개되었는지에 관한 광범위한 주제들을 포괄하고 있다. 한국사회에서 양분화된 개신교의 담론을 깊이 분석하고 이해하는 것은 오늘날 정치적 긴장과 갈등이 치열해지고 있는 한국사회의 '원형적 시민사회'의 양태를 이해하는 데 커다란 도움이 될 것이다. - 오세일(서강대 사회학과 종교/영성/문화사회학 교수)",BOOK,Religion
0,books#volume,0lnbuQEACAAJ,https://www.googleapis.com/books/v1/volumes/0lnbuQEACAAJ,오래된 새 길 영성,김용우,none,2016,none,BOOK,Religion and social problems
0,books#volume,bg4REAAAQBAJ,https://www.googleapis.com/books/v1/volumes/bg4REAAAQBAJ,영광의 무게,C. S. 루이스,홍성사,2020-12-30,"전시(戰時) 가운데 행해진, 인간과 종교에 대한 사유 개인적이기만 한 종교는 없다 《나니아 연대기》의 작가이자 문학가 C. S. 루이스의 탁월한 글쓰기가 순전한 영성과 결합된 설교집이다. 그의 설교에서 백미로 꼽히는 〈영광의 무게〉를 비롯해 그리스도인이 삶에서 접하게 되는 주제에 관해 숙고한 설교와 강연 9편으로 구성되어 있다. 지적 질문을 회피하지 않는 정직한 글 모음집이라 할 《영광의 무게》는 기독교 신앙을 떠났다가 성경에서 해답을 발견하고 이후 ‘회의자의 사도’가 되어 수많은 회의론자들을 다시 돌아서게 한 지은이의 탁월함이 잘 드러나 있다. 옥스퍼드 대학 교수와 학생들은 물론 군인과 평범한 사람 모두가 납득할 만한 강연을 한 지은이는 창의적 상상력, 탁월한 표현력과 생생한 비유 사용, 인간에 대한 공감 능력, 목회적 배려 등으로 《영광의 무게》를 탁월한 강연집의 반열에 올려놓았다.",BOOK,Religion
0,books#volume,kPppMgAACAAJ,https://www.googleapis.com/books/v1/volumes/kPppMgAACAAJ,그리스도교 영성(김진의영성이야기 1),김진,none,2003-06-20,none,BOOK,none
0,books#volume,F74OAgAACAAJ,https://www.googleapis.com/books/v1/volumes/F74OAgAACAAJ,생태적 삶 을 추구 하는 영성,장회익,내일을여는책,2000,none,BOOK,God (Christianity)
0,books#volume,nmrYDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/nmrYDwAAQBAJ,"지금, 한국의 종교",김근수,메디치미디어,2016-11-05,"『지금, 한국의 종교』은 고려대 철학과 조성택 교수가 불교를, 제3시대그리스도교연구소 연구실장이기도 한 김진호 목사가 개신교를, 김근수 해방신학연구소 소장이자 가톨릭프레스 편집장이 가톨릭의 대표로 나섰다. 이들은 자신의 종교를 각각 내부자의 시선으로 비판하며, 각 종교의 문제점과 그 이유를 진단했다. 그러나 이들은 원효의 화쟁 사상처럼 싸우되 평화롭게 싸우며, 종교 간 경계를 넘나들면서 한국 사회에서 종교가 나아가야 할 방향을 모색한다.이 책에서는 발제자 3인의 성역 없는 비판과 종교를 넘나드는 날카로운 시선으로 나눈 논의와 대담, 그리고 청중들의 진지한 질문과 반론도 정리하여 함께 수록했다. 각각의 종교가 ‘무엇이 걱정인지’, ‘왜 걱정인지’, ‘어떻게 해야 하는지’를 주제로 총 아홉 차례에 걸쳐 발제와 토론, 질의응답으로 구성했다. 이른바 한국 3대 종교의 화쟁적 대화의 결과물이다.",BOOK,Religion
0,books#volume,EOy4rQEACAAJ,https://www.googleapis.com/books/v1/volumes/EOy4rQEACAAJ,가족치료와 영성,Froma Walsh,none,2015-01-15,none,BOOK,none
