cnt,kind,id,selfLink,title,authors,publisher,publishedDate,description,printType,categories
0,books#volume,G5JMMwAACAAJ,https://www.googleapis.com/books/v1/volumes/G5JMMwAACAAJ,컴퓨터네트워킹 (COMPUTER NETWORKING WITH INTERNET PROTOCOLS AND TECHNO,WILLIAM STALLINGS,none,2004-08-15,none,BOOK,none
0,books#volume,8sKwjwEACAAJ,https://www.googleapis.com/books/v1/volumes/8sKwjwEACAAJ,컴퓨터와 IT기술의 이해(개정판),최윤철,none,2016-02-26,none,BOOK,none
0,books#volume,K0zrMgAACAAJ,https://www.googleapis.com/books/v1/volumes/K0zrMgAACAAJ,인터넷 컴퓨터 활용 및 실습(디지털 정보기술총서 10),이상열,none,2006-02-25,none,BOOK,none
0,books#volume,iJZGzAEACAAJ,https://www.googleapis.com/books/v1/volumes/iJZGzAEACAAJ,예술 및 문학에 컴퓨터 기술 적용 방안 연구,none,none,1995,none,BOOK,none
0,books#volume,EcMqBh5MDQIC,https://www.googleapis.com/books/v1/volumes/EcMqBh5MDQIC,운영 체제와 정보기술의 원리,반효경,Ewha Womans University Press,2008-01-31,none,BOOK,none
0,books#volume,I-4izAEACAAJ,https://www.googleapis.com/books/v1/volumes/I-4izAEACAAJ,컴퓨터 계산에 의한 합금강 상평형 및 상안정성 평가 기술 개발,none,none,1994,none,BOOK,none
0,books#volume,2OCkEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/2OCkEAAAQBAJ,두뇌 컴퓨터 인터페이스,Fouad Sabry,One Billion Knowledgeable,2022-12-25,"뇌-컴퓨터 인터페이스란? 뇌-기계 인터페이스(BMI)라고도 불리는 뇌-컴퓨터 인터페이스(BCI)는 직접적인 통신입니다. 뇌의 전기적 활동과 외부 장치, 가장 흔히 컴퓨터 또는 로봇 사지 사이의 연결. BCI는 종종 인간의 인지 또는 감각 운동 기능을 탐색, 매핑, 도움, 향상 또는 치유할 목적으로 사용됩니다. 전극이 뇌 조직에 얼마나 가까이 가느냐에 따라 BCI는 비침습적 방법에서 다소 침습적, 침습적 방법에 이르기까지 다양한 방법으로 구현될 수 있습니다. 혜택을 받는 방법 (I) 다음 주제에 대한 통찰 및 검증: 1장: 뇌?컴퓨터 인터페이스 2장: 신경 기술 3장: BrainGate 4장: Miguel Nicolelis 5장: 뇌 이식 6장: 신경 보철 7장 : 원격 제어 동물 8장: 신경 공학 9장: 신경 진동 10장: 단일 단위 기록 장 11: 뇌전도법 12장: 뮤파 13장: 미세 전극 배열 14장: 뇌파 검사 15장: 신경영양 전극 16장: 상상 속의 말 17장: Intendix 18장: 스텐트-전극 기록 배열 19장: 피질 임플란트 20장: 인지와 뉴로에르고 nomics(CaN) 협력 기술 연합 21장: 신경 먼지 (II) 뇌 컴퓨터 인터페이스에 대한 대중의 주요 질문에 답변 (III) 실제 다양한 분야에서 브레인 컴퓨터 인터페이스를 사용하는 세계적 사례 (IV) 각 산업 분야의 266가지 신기술을 간략하게 설명하는 17개의 부록으로 브레인 컴퓨터 인터페이스의 기술을 360도로 완벽하게 이해할 수 있습니다. 이 책의 대상 전문가, 학부생 및 대학원생, 열성 팬, 애호가 및 기본 지식이나 정보를 넘어서고자 하는 사람 뇌 컴퓨터 인터페이스의 일종입니다.",BOOK,Science
0,books#volume,CFfzDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/CFfzDwAAQBAJ,"IT CookBook, 인공지능 시대를 위한 컴퓨터 과학 개론",정기철 ,한빛아카데미(주),2020-06-19,"인공지능 시대에 컴퓨터 과학의 원리를 알고 싶어 하는 학생과 일반 독자를 대상으로 합니다. 컴퓨터 기초부터 인공지능까지 컴퓨터 과학 이론을 체계적으로 정리하고, 특히 4차 산업혁명 시대의 빅데이터, 사물인터넷, 가상현실(VR), 증강현실(AR), 인공지능(AI) 등의 기술을 두루 살펴봅니다. 앞으로 기술이 어떻게 전개될지 조망하는 식으로 설명했기 때문에 단순 지식 습득을 넘어 실생활에서도 도움을 얻을 수 있을 것입니다.",BOOK,Computers
0,books#volume,LqwpzAEACAAJ,https://www.googleapis.com/books/v1/volumes/LqwpzAEACAAJ,컴퓨터를 이용한 통합생산 자동화 기술,none,none,1991,none,BOOK,none
0,books#volume,nP5nAQAACAAJ,https://www.googleapis.com/books/v1/volumes/nP5nAQAACAAJ,데이터통신 및 컴퓨터통신 7판 (DATA & COMPUTER COMMUNICATIONS),WILLIAM STALLINGS,none,2004-10-05,none,BOOK,none
0,books#volume,1pA9zAEACAAJ,https://www.googleapis.com/books/v1/volumes/1pA9zAEACAAJ,컴퓨터를 이용한 통합생산 자동화 기술,none,none,1991,none,BOOK,none
0,books#volume,BrnB9wTL11gC,https://www.googleapis.com/books/v1/volumes/BrnB9wTL11gC,어린이와 멀티미디어,정미라외,Ewha Womans University Press,2002-02-25,none,BOOK,none
0,books#volume,MXNRbwAACAAJ,https://www.googleapis.com/books/v1/volumes/MXNRbwAACAAJ,컴퓨터구조(개정판)(핵심정보통신기술총서 1),삼성SDS 기술사회,none,2010-07-05,none,BOOK,none
